Season,League,Team,Player,Nation,Pos,Age,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
2022-2023,EPL,Arsenal,Albert Sambi Lokonga,BEL,MF,22.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,14.0,3.0,2.0,60.0
2022-2023,EPL,Arsenal,Mohamed Elneny,EGY,MF,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0
2022-2023,EPL,Arsenal,Reiss Nelson,ENG,FW,22.0,0.0,0.0,0.0,8.0,4.0,0.0,12.0,0.0,1.0,0.0,0.0,0.0,16.0,2.0,5.0,28.6
2022-2023,EPL,Arsenal,Emile Smith Rowe,ENG,"MF,FW",22.0,0.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,2.0,0.0
2022-2023,EPL,Arsenal,Cédric Soares,POR,DF,30.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-2023,EPL,Arsenal,Marquinhos,BRA,MF,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,EPL,Arsenal,Ethan Nwaneri,ENG,FW,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2022-2023,EPL,Manchester Utd,David de Gea,ESP,GK,31.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,25.0,5.0,1.0,83.3
2022-2023,EPL,Manchester Utd,Bruno Fernandes,POR,"MF,FW",27.0,6.0,0.0,0.0,42.0,39.0,15.0,141.0,25.0,42.0,1.0,0.0,0.0,222.0,18.0,43.0,29.5
2022-2023,EPL,Manchester Utd,Marcus Rashford,ENG,FW,24.0,2.0,0.0,0.0,15.0,23.0,15.0,24.0,7.0,10.0,0.0,0.0,0.0,100.0,20.0,40.0,33.3
2022-2023,EPL,Manchester Utd,Luke Shaw,ENG,DF,27.0,8.0,0.0,0.0,46.0,27.0,1.0,89.0,36.0,36.0,0.0,1.0,0.0,189.0,46.0,29.0,61.3
2022-2023,EPL,Manchester Utd,Christian Eriksen,DEN,MF,30.0,3.0,0.0,0.0,13.0,10.0,3.0,81.0,11.0,18.0,0.0,0.0,0.0,151.0,9.0,13.0,40.9
2022-2023,EPL,Manchester Utd,Diogo Dalot,POR,DF,23.0,6.0,0.0,0.0,21.0,3.0,0.0,44.0,37.0,41.0,0.0,0.0,0.0,152.0,39.0,18.0,68.4
2022-2023,EPL,Manchester Utd,Casemiro,BRA,MF,30.0,7.0,2.0,0.0,48.0,24.0,1.0,19.0,34.0,46.0,0.0,1.0,0.0,205.0,56.0,30.0,65.1
2022-2023,EPL,Manchester Utd,Lisandro Martínez,ARG,DF,24.0,6.0,0.0,0.0,21.0,10.0,0.0,0.0,33.0,28.0,0.0,0.0,0.0,164.0,32.0,31.0,50.8
2022-2023,EPL,Manchester Utd,Antony,BRA,FW,22.0,5.0,0.0,0.0,15.0,25.0,2.0,32.0,11.0,9.0,0.0,0.0,0.0,99.0,5.0,19.0,20.8
2022-2023,EPL,Manchester Utd,Raphaël Varane,FRA,DF,29.0,1.0,0.0,0.0,12.0,3.0,2.0,1.0,11.0,9.0,0.0,0.0,1.0,100.0,42.0,16.0,72.4
2022-2023,EPL,Manchester Utd,Jadon Sancho,ENG,"FW,MF",22.0,0.0,0.0,0.0,9.0,10.0,8.0,17.0,7.0,10.0,0.0,0.0,0.0,109.0,2.0,12.0,14.3
2022-2023,EPL,Manchester Utd,Aaron Wan-Bissaka,ENG,DF,24.0,2.0,0.0,0.0,11.0,2.0,0.0,14.0,22.0,25.0,0.0,0.0,0.0,73.0,13.0,17.0,43.3
2022-2023,EPL,Manchester Utd,Tyrell Malacia,NED,DF,22.0,6.0,0.0,0.0,39.0,13.0,3.0,15.0,25.0,33.0,0.0,0.0,0.0,90.0,8.0,4.0,66.7
2022-2023,EPL,Manchester Utd,Victor Lindelöf,SWE,DF,28.0,1.0,0.0,0.0,10.0,4.0,0.0,1.0,21.0,17.0,0.0,0.0,0.0,84.0,33.0,20.0,62.3
2022-2023,EPL,Manchester Utd,Fred,BRA,MF,29.0,6.0,0.0,0.0,33.0,22.0,1.0,14.0,19.0,30.0,0.0,0.0,0.0,127.0,11.0,11.0,50.0
