Season,League,Team,Player,Nation,Pos,Age,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PrgC,PrgP,PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,xG,npxG,xAG,npxG+xAG,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches Played
2022-2023,SeriaA,Milan,Fikayo Tomori,ENG,DF,24.0,32.0,2760.0,30.7,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,26.0,122.0,10.0,0.03,0.03,0.07,0.03,0.07,1.3,1.3,0.8,2.1,0.04,0.03,0.07,0.04,0.07,33.0
2022-2023,SeriaA,Milan,Sandro Tonali,ITA,MF,22.0,30.0,2713.0,30.1,2.0,7.0,9.0,2.0,0.0,0.0,7.0,0.0,61.0,159.0,86.0,0.07,0.23,0.3,0.07,0.3,2.4,2.4,5.7,8.1,0.08,0.19,0.27,0.08,0.27,34.0
2022-2023,SeriaA,Milan,Rafael Leão,POR,"FW,MF",23.0,28.0,2421.0,26.9,15.0,8.0,23.0,15.0,0.0,0.0,7.0,1.0,136.0,122.0,235.0,0.56,0.3,0.86,0.56,0.86,10.8,10.8,7.0,17.9,0.4,0.26,0.66,0.4,0.66,35.0
2022-2023,SeriaA,Milan,Brahim Díaz,ESP,"MF,FW",22.0,27.0,1925.0,21.4,6.0,7.0,13.0,6.0,0.0,0.0,3.0,0.0,80.0,121.0,116.0,0.28,0.33,0.61,0.28,0.61,6.0,6.0,5.6,11.5,0.28,0.26,0.54,0.28,0.54,33.0
2022-2023,SeriaA,Milan,Pierre Kalulu,FRA,DF,22.0,26.0,2548.0,28.3,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,52.0,138.0,43.0,0.04,0.0,0.04,0.04,0.04,1.5,1.5,1.2,2.8,0.05,0.04,0.1,0.05,0.1,34.0
2022-2023,SeriaA,Milan,Olivier Giroud,FRA,FW,35.0,25.0,2139.0,23.8,13.0,5.0,18.0,10.0,3.0,3.0,8.0,1.0,12.0,36.0,152.0,0.55,0.21,0.76,0.42,0.63,12.7,10.4,4.0,14.4,0.53,0.17,0.7,0.44,0.61,33.0
2022-2023,SeriaA,Milan,Ismaël Bennacer,ALG,MF,24.0,24.0,2007.0,22.3,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,30.0,132.0,52.0,0.09,0.09,0.18,0.09,0.18,1.0,1.0,3.3,4.3,0.04,0.15,0.19,0.04,0.19,28.0
2022-2023,SeriaA,Milan,Mike Maignan,FRA,GK,27.0,22.0,1978.0,22.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.05,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0
2022-2023,SeriaA,Milan,Davide Calabria,ITA,DF,25.0,21.0,1690.0,18.8,1.0,4.0,5.0,1.0,0.0,0.0,6.0,0.0,26.0,108.0,80.0,0.05,0.21,0.27,0.05,0.27,1.2,1.2,1.7,2.9,0.06,0.09,0.15,0.06,0.15,25.0
2022-2023,SeriaA,Milan,Junior Messias,BRA,"FW,DF",31.0,19.0,1498.0,16.6,5.0,2.0,7.0,5.0,0.0,0.0,3.0,0.0,45.0,54.0,137.0,0.3,0.12,0.42,0.3,0.42,2.3,2.3,0.8,3.0,0.14,0.05,0.18,0.14,0.18,25.0
2022-2023,SeriaA,Milan,Rade Krunić,BIH,MF,28.0,18.0,1657.0,18.4,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,31.0,73.0,21.0,0.0,0.05,0.05,0.0,0.05,1.1,1.1,1.1,2.2,0.06,0.06,0.12,0.06,0.12,23.0
2022-2023,SeriaA,Milan,Ciprian Tătărușanu,ROU,GK,36.0,16.0,1440.0,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,0.0,0.0,0.5,0.5,0.0,0.03,0.03,0.0,0.03,16.0
2022-2023,SeriaA,Milan,Malick Thiaw,GER,DF,20.0,15.0,1362.0,15.1,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,6.0,67.0,2.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.2,1.0,0.06,0.01,0.07,0.06,0.07,20.0
2022-2023,SeriaA,Milan,Alexis Saelemaekers,BEL,"FW,DF",23.0,14.0,1403.0,15.6,2.0,3.0,5.0,2.0,0.0,0.0,1.0,0.0,52.0,52.0,143.0,0.13,0.19,0.32,0.13,0.32,2.5,2.5,4.1,6.6,0.16,0.27,0.42,0.16,0.42,30.0
2022-2023,SeriaA,Milan,Simon Kjær,DEN,DF,33.0,12.0,1007.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
2022-2023,SeriaA,Milan,Divock Origi,BEL,FW,27.0,10.0,1027.0,11.4,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,24.0,18.0,79.0,0.18,0.09,0.26,0.18,0.26,2.1,2.1,1.2,3.3,0.19,0.1,0.29,0.19,0.29,27.0
2022-2023,SeriaA,Milan,Ante Rebić,CRO,"FW,MF",28.0,10.0,980.0,10.9,3.0,2.0,5.0,3.0,0.0,0.0,4.0,0.0,17.0,29.0,92.0,0.28,0.18,0.46,0.28,0.46,3.5,3.5,2.0,5.5,0.32,0.19,0.5,0.32,0.5,23.0
2022-2023,SeriaA,Milan,Charles De Ketelaere,BEL,"MF,FW",21.0,9.0,1116.0,12.4,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,45.0,59.0,69.0,0.0,0.08,0.08,0.0,0.08,2.0,2.0,2.0,4.0,0.16,0.16,0.32,0.16,0.32,32.0
2022-2023,SeriaA,Milan,Tommaso Pobega,ITA,MF,23.0,9.0,883.0,9.8,2.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,8.0,36.0,22.0,0.2,0.0,0.2,0.2,0.2,1.4,1.4,0.3,1.7,0.15,0.03,0.17,0.15,0.17,19.0
2022-2023,SeriaA,Milan,Matteo Gabbia,ITA,DF,22.0,6.0,613.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01,12.0
2022-2023,SeriaA,Milan,Fodé Ballo-Touré,SEN,DF,25.0,5.0,523.0,5.8,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,11.0,25.0,31.0,0.17,0.0,0.17,0.17,0.17,0.6,0.6,0.2,0.9,0.11,0.04,0.15,0.11,0.15,10.0
2022-2023,SeriaA,Milan,Sergiño Dest,USA,DF,21.0,2.0,329.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.6,0.08,0.09,0.17,0.08,0.17,8.0
2022-2023,SeriaA,Milan,Aster Vranckx,BEL,MF,19.0,2.0,240.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.02,0.11,0.12,0.02,0.12,9.0
2022-2023,SeriaA,Milan,Alessandro Florenzi,ITA,DF,31.0,2.0,203.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,19.0,0.0,0.0,0.0,0.0,0.0,0.8,0.8,0.5,1.2,0.34,0.21,0.54,0.34,0.54,6.0
2022-2023,SeriaA,Milan,Zlatan Ibrahimović,SWE,FW,40.0,1.0,146.0,1.6,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,10.0,0.62,0.0,0.62,0.0,0.0,1.2,0.4,0.2,0.6,0.72,0.11,0.84,0.24,0.35,4.0
2022-2023,SeriaA,Milan,Yacine Adli,FRA,"MF,FW",22.0,1.0,144.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,10.0,8.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.3,0.05,0.16,0.22,0.05,0.22,6.0
2022-2023,SeriaA,Milan,Tiemoué Bakayoko,FRA,MF,27.0,0.0,41.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
2022-2023,SeriaA,Milan,Marko Lazetić,SRB,FW,18.0,0.0,9.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.63,0.0,0.63,0.63,0.63,1.0
2022-2023,SeriaA,Milan,Antonio Mirante,ITA,GK,39.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-2023,SeriaA,Milan,Andrea Bozzolan,ITA,DF,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-2023,SeriaA,Milan,Andreas Jungdal,DEN,GK,20.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-2023,SeriaA,Milan,Lapo Nava,ITA,GK,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-2023,SeriaA,Milan,Devis Vásquez,COL,GK,24.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-2023,SeriaA,Milan,Squad Total,,,26.0,418.0,3420.0,38.0,61.0,49.0,110.0,56.0,5.0,5.0,90.0,2.0,795.0,1584.0,1576.0,1.61,1.29,2.89,1.47,2.76,58.8,55.1,46.0,101.1,1.55,1.21,2.76,1.45,2.66,38.0
2022-2023,SeriaA,Milan,Opponent Total,,,26.7,418.0,3420.0,38.0,42.0,32.0,74.0,38.0,4.0,5.0,113.0,1.0,546.0,1168.0,1157.0,1.11,0.84,1.95,1.0,1.84,41.1,37.2,31.0,68.2,1.08,0.82,1.9,0.98,1.8,38.0
2022-2023,SeriaA,Atalanta,Marten de Roon,NED,MF,31.0,34.0,2964.0,32.9,3.0,1.0,4.0,3.0,0.0,0.0,7.0,0.0,18.0,171.0,23.0,0.09,0.03,0.12,0.09,0.12,1.1,1.1,1.8,2.9,0.03,0.06,0.09,0.03,0.09,35.0
2022-2023,SeriaA,Atalanta,Teun Koopmeiners,NED,MF,24.0,32.0,2858.0,31.8,10.0,4.0,14.0,8.0,2.0,4.0,7.0,0.0,60.0,186.0,106.0,0.31,0.13,0.44,0.25,0.38,7.6,4.3,6.4,10.7,0.24,0.2,0.44,0.14,0.34,33.0
2022-2023,SeriaA,Atalanta,Rafael Tolói,ITA,DF,31.0,32.0,2784.0,30.9,2.0,1.0,3.0,2.0,0.0,0.0,8.0,0.0,21.0,148.0,29.0,0.06,0.03,0.1,0.06,0.1,2.8,2.8,1.2,4.0,0.09,0.04,0.13,0.09,0.13,32.0
2022-2023,SeriaA,Atalanta,Giorgio Scalvini,ITA,DF,18.0,29.0,2335.0,25.9,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,22.0,158.0,34.0,0.08,0.08,0.15,0.08,0.15,2.0,2.0,0.4,2.4,0.08,0.01,0.09,0.08,0.09,32.0
2022-2023,SeriaA,Atalanta,Éderson,BRA,MF,23.0,25.0,2215.0,24.6,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,37.0,93.0,62.0,0.04,0.04,0.08,0.04,0.08,2.0,2.0,2.3,4.2,0.08,0.09,0.17,0.08,0.17,35.0
2022-2023,SeriaA,Atalanta,Joakim Mæhle,DEN,"DF,MF",25.0,25.0,2209.0,24.5,3.0,3.0,6.0,3.0,0.0,0.0,5.0,1.0,81.0,137.0,186.0,0.12,0.12,0.24,0.12,0.24,3.0,3.0,2.9,5.9,0.12,0.12,0.24,0.12,0.24,34.0
2022-2023,SeriaA,Atalanta,Juan Musso,ARG,GK,28.0,24.0,2077.0,23.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,24.0
2022-2023,SeriaA,Atalanta,Mario Pašalić,CRO,"MF,FW",27.0,24.0,1769.0,19.7,5.0,2.0,7.0,5.0,0.0,0.0,3.0,0.0,24.0,82.0,83.0,0.25,0.1,0.36,0.25,0.36,5.7,5.7,2.2,7.9,0.29,0.11,0.4,0.29,0.4,32.0
2022-2023,SeriaA,Atalanta,Rasmus Højlund,DEN,FW,19.0,20.0,1834.0,20.4,9.0,2.0,11.0,9.0,0.0,0.0,1.0,0.0,40.0,37.0,224.0,0.44,0.1,0.54,0.44,0.54,9.5,9.5,2.4,11.8,0.47,0.12,0.58,0.47,0.58,32.0
2022-2023,SeriaA,Atalanta,Berat Djimsiti,ALB,DF,29.0,20.0,1797.0,20.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,7.0,45.0,9.0,0.0,0.05,0.05,0.0,0.05,0.6,0.6,0.2,0.8,0.03,0.01,0.04,0.03,0.04,24.0
2022-2023,SeriaA,Atalanta,Ademola Lookman,NGA,"FW,MF",24.0,20.0,1729.0,19.2,13.0,6.0,19.0,10.0,3.0,3.0,3.0,0.0,73.0,79.0,185.0,0.68,0.31,0.99,0.52,0.83,9.1,6.7,6.6,13.3,0.47,0.34,0.82,0.35,0.69,31.0
2022-2023,SeriaA,Atalanta,Davide Zappacosta,ITA,DF,30.0,18.0,1471.0,16.3,4.0,2.0,6.0,4.0,0.0,0.0,4.0,0.0,48.0,55.0,101.0,0.24,0.12,0.37,0.24,0.37,1.5,1.5,1.6,3.2,0.09,0.1,0.2,0.09,0.2,21.0
2022-2023,SeriaA,Atalanta,Hans Hateboer,NED,DF,28.0,17.0,1397.0,15.5,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,16.0,55.0,73.0,0.06,0.06,0.13,0.06,0.13,1.3,1.3,1.5,2.8,0.09,0.1,0.18,0.09,0.18,17.0
2022-2023,SeriaA,Atalanta,Duván Zapata,COL,FW,31.0,16.0,1390.0,15.4,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,35.0,40.0,140.0,0.13,0.13,0.26,0.13,0.26,3.9,3.9,1.1,5.1,0.25,0.07,0.33,0.25,0.33,25.0
2022-2023,SeriaA,Atalanta,Merih Demiral,TUR,DF,24.0,14.0,1536.0,17.1,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,3.0,26.0,4.0,0.06,0.0,0.06,0.06,0.06,0.7,0.7,0.5,1.2,0.04,0.03,0.07,0.04,0.07,28.0
2022-2023,SeriaA,Atalanta,Marco Sportiello,ITA,GK,30.0,14.0,1339.0,14.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
2022-2023,SeriaA,Atalanta,Luis Muriel,COL,"FW,MF",31.0,10.0,1073.0,11.9,3.0,3.0,6.0,2.0,1.0,1.0,2.0,2.0,53.0,71.0,124.0,0.25,0.25,0.5,0.17,0.42,2.8,2.0,3.5,5.6,0.24,0.3,0.53,0.17,0.47,29.0
2022-2023,SeriaA,Atalanta,Caleb Okoli,ITA,DF,21.0,9.0,960.0,10.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,4.0,19.0,12.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.5,0.04,0.0,0.04,0.04,0.04,17.0
2022-2023,SeriaA,Atalanta,Matteo Ruggeri,ITA,"DF,MF",20.0,8.0,829.0,9.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,22.0,55.0,65.0,0.0,0.11,0.11,0.0,0.11,0.6,0.6,0.9,1.5,0.06,0.1,0.16,0.06,0.16,15.0
2022-2023,SeriaA,Atalanta,José Luis Palomino,ARG,DF,32.0,8.0,759.0,8.4,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,3.0,29.0,3.0,0.12,0.0,0.12,0.12,0.12,0.5,0.5,0.3,0.8,0.06,0.03,0.1,0.06,0.1,15.0
2022-2023,SeriaA,Atalanta,Brandon Soppy,FRA,DF,20.0,8.0,643.0,7.1,0.0,3.0,3.0,0.0,0.0,0.0,2.0,0.0,23.0,33.0,35.0,0.0,0.42,0.42,0.0,0.42,0.3,0.3,1.6,2.0,0.05,0.23,0.27,0.05,0.27,15.0
2022-2023,SeriaA,Atalanta,Jeremie Boga,CIV,"MF,FW",25.0,5.0,782.0,8.7,2.0,5.0,7.0,2.0,0.0,0.0,0.0,0.0,64.0,53.0,78.0,0.23,0.58,0.81,0.23,0.81,1.9,1.9,2.8,4.7,0.22,0.33,0.54,0.22,0.54,23.0
2022-2023,SeriaA,Atalanta,Ruslan Malinovskyi,UKR,"MF,FW",29.0,5.0,553.0,6.1,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,19.0,50.0,36.0,0.16,0.33,0.49,0.16,0.49,0.6,0.6,2.0,2.6,0.1,0.33,0.43,0.1,0.43,15.0
2022-2023,SeriaA,Atalanta,Nadir Zortea,ITA,"DF,MF",23.0,1.0,222.0,2.5,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,11.0,9.0,13.0,0.41,0.0,0.41,0.41,0.41,0.1,0.1,0.6,0.7,0.05,0.23,0.28,0.05,0.28,9.0
2022-2023,SeriaA,Atalanta,Lukáš Vorlický,CZE,"MF,FW",20.0,0.0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.0,0.18,0.18,0.18,3.0
2022-2023,SeriaA,Atalanta,Tommaso De Nipoti,ITA,MF,19.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-2023,SeriaA,Atalanta,Francesco Rossi,ITA,GK,31.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2022-2023,SeriaA,Atalanta,Lorenzo Bernasconi,ITA,DF,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-2023,SeriaA,Atalanta,Tommaso Bertini,ITA,GK,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-2023,SeriaA,Atalanta,Mannah Chiwisa,ZAM,MF,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-2023,SeriaA,Atalanta,Matteo Colombo,ITA,MF,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-2023,SeriaA,Atalanta,Tommaso Del Lungo,ITA,DF,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-2023,SeriaA,Atalanta,Alessandro Falleni,ITA,FW,19.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-2023,SeriaA,Atalanta,Leonardo Mendicino,ITA,MF,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-2023,SeriaA,Atalanta,Endri Muhameti,ALB,MF,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-2023,SeriaA,Atalanta,Marco Palestra,ITA,DF,17.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-2023,SeriaA,Atalanta,Iacopo Regonesi,ITA,DF,18.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
2022-2023,SeriaA,Atalanta,Squad Total,,,26.5,418.0,3420.0,38.0,64.0,42.0,106.0,58.0,6.0,8.0,83.0,3.0,687.0,1637.0,1628.0,1.68,1.11,2.79,1.53,2.63,57.7,51.3,42.7,93.9,1.52,1.12,2.64,1.35,2.47,38.0
2022-2023,SeriaA,Atalanta,Opponent Total,,,26.5,418.0,3420.0,38.0,46.0,35.0,81.0,43.0,3.0,3.0,83.0,1.0,595.0,1264.0,1249.0,1.21,0.92,2.13,1.13,2.05,41.4,39.2,30.5,69.7,1.09,0.8,1.89,1.03,1.83,38.0
2022-2023,SeriaA,Roma,Rui Patrício,POR,GK,34.0,35.0,3150.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
2022-2023,SeriaA,Roma,Bryan Cristante,ITA,"MF,DF",27.0,34.0,2938.0,32.6,1.0,1.0,2.0,1.0,0.0,1.0,8.0,1.0,16.0,142.0,27.0,0.03,0.03,0.06,0.03,0.06,2.6,1.9,1.4,3.3,0.08,0.04,0.12,0.06,0.1,36.0
2022-2023,SeriaA,Roma,Gianluca Mancini,ITA,DF,26.0,33.0,2858.0,31.8,1.0,2.0,3.0,1.0,0.0,0.0,7.0,0.0,17.0,93.0,19.0,0.03,0.06,0.09,0.03,0.09,2.3,2.3,1.6,3.9,0.07,0.05,0.12,0.07,0.12,35.0
2022-2023,SeriaA,Roma,Roger Ibanez,BRA,DF,23.0,32.0,2796.0,31.1,3.0,0.0,3.0,3.0,0.0,0.0,11.0,1.0,24.0,77.0,9.0,0.1,0.0,0.1,0.1,0.1,3.0,3.0,0.6,3.5,0.1,0.02,0.11,0.1,0.11,33.0
2022-2023,SeriaA,Roma,Chris Smalling,ENG,DF,32.0,31.0,2808.0,31.2,3.0,1.0,4.0,3.0,0.0,0.0,7.0,0.0,5.0,51.0,7.0,0.1,0.03,0.13,0.1,0.13,1.7,1.7,0.4,2.1,0.05,0.01,0.07,0.05,0.07,32.0
2022-2023,SeriaA,Roma,Lorenzo Pellegrini,ITA,MF,26.0,29.0,2545.0,28.3,4.0,5.0,9.0,2.0,2.0,3.0,5.0,0.0,58.0,106.0,113.0,0.14,0.18,0.32,0.07,0.25,8.0,5.7,6.9,12.5,0.28,0.24,0.53,0.2,0.44,32.0
2022-2023,SeriaA,Roma,Nicola Zalewski,POL,DF,20.0,26.0,2197.0,24.4,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,92.0,85.0,99.0,0.08,0.04,0.12,0.08,0.12,1.3,1.3,1.2,2.5,0.05,0.05,0.1,0.05,0.1,33.0
2022-2023,SeriaA,Roma,Tammy Abraham,ENG,FW,24.0,24.0,2189.0,24.3,8.0,3.0,11.0,8.0,0.0,0.0,2.0,0.0,35.0,54.0,141.0,0.33,0.12,0.45,0.33,0.45,10.8,10.8,3.6,14.5,0.45,0.15,0.6,0.45,0.6,38.0
2022-2023,SeriaA,Roma,Paulo Dybala,ARG,"MF,FW",28.0,21.0,1739.0,19.3,12.0,6.0,18.0,7.0,5.0,5.0,5.0,0.0,56.0,75.0,109.0,0.62,0.31,0.93,0.36,0.67,9.3,5.3,6.9,12.2,0.48,0.36,0.83,0.28,0.63,25.0
2022-2023,SeriaA,Roma,Leonardo Spinazzola,ITA,DF,29.0,18.0,1654.0,18.4,1.0,4.0,5.0,1.0,0.0,0.0,3.0,0.0,107.0,63.0,87.0,0.05,0.22,0.27,0.05,0.27,1.0,1.0,2.0,3.0,0.06,0.11,0.16,0.06,0.16,26.0
2022-2023,SeriaA,Roma,Nemanja Matić,SRB,MF,33.0,16.0,1852.0,20.6,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,50.0,134.0,17.0,0.1,0.1,0.19,0.1,0.19,1.0,1.0,2.6,3.6,0.05,0.13,0.17,0.05,0.17,35.0
2022-2023,SeriaA,Roma,Zeki Çelik,TUR,DF,25.0,16.0,1504.0,16.7,0.0,1.0,1.0,0.0,0.0,0.0,7.0,1.0,34.0,67.0,76.0,0.0,0.06,0.06,0.0,0.06,0.3,0.3,1.6,1.9,0.02,0.09,0.12,0.02,0.12,24.0
2022-2023,SeriaA,Roma,Stephan El Shaarawy,ITA,"DF,MF",29.0,14.0,1523.0,16.9,7.0,2.0,9.0,7.0,0.0,0.0,3.0,0.0,58.0,66.0,136.0,0.41,0.12,0.53,0.41,0.53,5.5,5.5,1.4,6.9,0.33,0.08,0.41,0.33,0.41,29.0
2022-2023,SeriaA,Roma,Nicolò Zaniolo,ITA,"MF,FW",23.0,12.0,890.0,9.9,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,34.0,19.0,69.0,0.1,0.0,0.1,0.1,0.1,2.9,2.9,0.9,3.8,0.29,0.09,0.39,0.29,0.39,13.0
2022-2023,SeriaA,Roma,Andrea Belotti,ITA,FW,28.0,11.0,1146.0,12.7,0.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,21.0,13.0,94.0,0.0,0.16,0.16,0.0,0.16,3.5,2.7,1.6,4.3,0.27,0.13,0.4,0.21,0.34,31.0
2022-2023,SeriaA,Roma,Edoardo Bove,ITA,MF,20.0,10.0,992.0,11.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,9.0,33.0,26.0,0.09,0.0,0.09,0.09,0.09,0.8,0.5,0.9,1.4,0.07,0.08,0.15,0.05,0.13,22.0
2022-2023,SeriaA,Roma,Georginio Wijnaldum,NED,MF,31.0,10.0,769.0,8.5,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,16.0,18.0,33.0,0.23,0.0,0.23,0.23,0.23,2.2,2.2,0.7,2.9,0.26,0.08,0.34,0.26,0.34,14.0
2022-2023,SeriaA,Roma,Rick Karsdorp,NED,DF,27.0,8.0,711.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,24.0,33.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.2,1.5,0.03,0.15,0.19,0.03,0.19,13.0
2022-2023,SeriaA,Roma,Mohamed Camara,GUI,MF,25.0,8.0,696.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,13.0,30.0,14.0,0.0,0.0,0.0,0.0,0.0,0.6,0.6,0.4,1.0,0.08,0.05,0.13,0.08,0.13,15.0
2022-2023,SeriaA,Roma,Ola Solbakken,NOR,"MF,FW",23.0,7.0,502.0,5.6,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,5.0,14.0,35.0,0.18,0.36,0.54,0.18,0.54,0.6,0.6,1.6,2.2,0.11,0.29,0.4,0.11,0.4,14.0
2022-2023,SeriaA,Roma,Diego Llorente,ESP,DF,28.0,5.0,573.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.1,0.5,0.06,0.01,0.07,0.06,0.07,9.0
2022-2023,SeriaA,Roma,Marash Kumbulla,ALB,DF,22.0,5.0,259.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.01,0.03,0.04,0.01,0.04,7.0
