player,goals,goals_penalty,shots_total,shots_on_target,shots_avg_distance,shots_in_penalty_area,shots_in_goal_area,shots_in_attacking_third,shots_long_distance,shots_mid_distance,shots_short_distance,goal_volley,goals_avg_distance,goal_half_volley,goal_normal,goals_header,goals_header_%,shots_on_target_%,shot_conversion_%,shot_conversion_on_target_%,up_shot_conversion_%,up_shots_on_target_%,shots_inside_the_box_%,shots_outside_the_box_%,goals_right_foot_%,goals_left_foot_%,goals_with_first_touch_%,big_chance_conversion_%,goals_outside_penalty_area_%,goals_inside_penalty_area_%
David Olatukunbo Alaba,0,0,4,2,20.88589172593822,1,0,0,1,3,0,0,0.0,0,0,0,,0.5,0.0,0.0,0.0,0.5,0.0,1.0,,,,,inf,
David Ángel Abraham,0,0,8,3,8.232195313416376,7,0,0,0,1,7,0,0.0,0,0,0,,0.375,0.0,0.0,0.0,0.375,0.0,1.0,,,,,inf,
Dominik Kohr,0,0,8,2,17.564293058836217,3,0,0,3,2,3,0,0.0,0,0,0,,0.25,0.0,0.0,0.0,0.25,0.0,1.0,,,,,inf,
Dominik Maroh,0,0,8,3,9.174595302929854,8,0,0,0,3,5,0,0.0,0,0,0,,0.375,0.0,0.0,0.0,0.375,0.0,1.0,,,,,inf,
Dominik Stroh-Engel,0,0,1,1,31.66385952470103,0,0,0,1,0,0,0,0.0,0,0,0,,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,inf,
Dong-Won Ji,0,0,5,2,14.305033654530646,3,0,0,2,1,2,0,0.0,0,0,0,,0.4,0.0,0.0,0.0,0.4,0.0,1.0,,,,,inf,
Douglas Costa de Souza,1,0,11,9,17.07643643095681,6,0,0,3,6,2,0,27.79370432310166,0,1,0,0.0,0.818,0.091,0.111,0.091,0.818,0.0,1.0,0.0,1.0,0.0,,11.0,0.0
Dušan Švento,1,0,1,1,9.305912099305475,1,0,0,0,0,1,0,9.305912099305475,1,0,0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0
Edgar Prib,0,0,6,5,19.550554178761917,2,0,0,3,2,1,0,0.0,0,0,0,,0.833,0.0,0.0,0.0,0.833,0.0,1.0,,,,,inf,
Eduardo Jesús Vargas Rojas,1,0,10,7,12.551635533131968,7,0,0,1,4,5,0,17.734147850968196,0,1,0,0.0,0.7,0.1,0.143,0.1,0.7,0.0,1.0,1.0,0.0,1.0,,10.0,0.0
Elias Kachunga,0,0,3,1,12.402358524278588,2,1,1,1,0,2,0,0.0,0,0,0,,0.333,0.0,0.0,0.0,0.333,0.0,1.0,,,,,inf,
Emiliano Adrián Insúa Zapata,0,0,5,3,24.53334047383144,2,0,0,3,2,0,0,0.0,0,0,0,,0.6,0.0,0.0,0.0,0.6,0.0,1.0,,,,,inf,
Emir Spahić,0,0,7,3,6.220781241408846,5,2,2,0,0,7,0,0.0,0,0,0,,0.429,0.0,0.0,0.0,0.429,0.0,1.0,,,,,inf,
Erik Durm,0,0,1,0,29.698484809835,0,0,0,1,0,0,0,0.0,0,0,0,,0.0,0.0,,0.0,0.0,0.0,1.0,,,,,inf,
