player,country,team,position,match_played,minutes_played,subbed_in,subbed_out,positions_played
Arturo Erasmo Vidal Pardo,Chile,Bayern Munich,Right Center Midfield,30.0,2055.0,6.0,10.0,"['Left Center Midfield', 'Center Attacking Midfield', 'Right Back', 'Right Center Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield']"
Ashton Philip Shawn Götz,Germany,Hamburger SV,0,0.0,0.0,0.0,0.0,[]
Assani Lukimya-Mulongoti,"Congo, (Kinshasa)",Werder Bremen,Right Center Back,12.0,926.0,2.0,0.0,"['Right Back', 'Right Center Back']"
Aytac Sulu,Germany,Darmstadt 98,Right Center Back,33.0,2970.0,0.0,0.0,"['Right Attacking Midfield', 'Center Back', 'Right Center Back']"
Bariş Atik,Germany,Hoffenheim,0,0.0,0.0,0.0,0.0,[]
Bas Dost,Netherlands,Wolfsburg,Center Forward,22.0,1392.0,8.0,8.0,"['Right Center Forward', 'Center Attacking Midfield', 'Right Back', 'Center Forward', 'Left Midfield', 'Left Center Forward', 'Right Attacking Midfield', 'Center Defensive Midfield']"
Bastian Oczipka,Germany,Eintracht Frankfurt,Left Back,30.0,2700.0,0.0,0.0,"['Left Center Midfield', 'Left Back', 'Left Midfield', 'Left Wing Back', 'Left Center Back']"
Benedikt Höwedes,Germany,Schalke 04,Right Center Back,15.0,916.0,5.0,1.0,"['Right Wing', 'Right Back', 'Center Back', 'Right Center Back', 'Left Midfield', 'Left Center Forward', 'Center Defensive Midfield', 'Left Wing Back', 'Left Center Back']"
Benjamin Gorka,Germany,Darmstadt 98,Left Defensive Midfield,4.0,27.0,4.0,0.0,"['Right Wing', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Midfield']"
Benjamin Henrichs,Germany,Bayer Leverkusen,Left Back,9.0,552.0,4.0,0.0,"['Right Wing', 'Left Back', 'Center Attacking Midfield', 'Right Back', 'Left Center Forward', 'Left Wing']"
Benjamin Hübner,Germany,Ingolstadt,Left Center Back,30.0,2628.0,0.0,2.0,['Left Center Back']
Benjamin Uphoff,Germany,VfB Stuttgart,0,0.0,0.0,0.0,0.0,[]
Bernd Leno,Germany,Bayer Leverkusen,Goalkeeper,33.0,2970.0,0.0,0.0,['Goalkeeper']
Borys Tashchy,Ukraine,VfB Stuttgart,Center Forward,9.0,179.0,9.0,0.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Left Center Forward', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Midfield']"
Branimir Hrgota,Sweden,Borussia Mönchengladbach,Right Center Forward,9.0,103.0,9.0,0.0,"['Right Center Forward', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Right Attacking Midfield', 'Right Midfield', 'Left Center Back']"
Bruno Henrique Pinto,Brazil,Wolfsburg,Right Wing,7.0,265.0,5.0,1.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Right Back', 'Left Midfield', 'Left Wing']"
Bård Finne,Norway,FC Köln,0,0.0,0.0,0.0,0.0,[]
Caiuby Francisco da Silva,Brazil,Augsburg,Left Wing,26.0,2219.0,1.0,3.0,"['Right Wing', 'Right Center Forward', 'Center Forward', 'Left Midfield', 'Left Attacking Midfield', 'Left Center Forward', 'Left Wing', 'Right Midfield']"
Carlos Antonio Ascues Ávila,Peru,Wolfsburg,Right Center Back,1.0,11.0,1.0,0.0,['Right Center Back']
Carlos Armando Gruezo Arboleda,Ecuador,VfB Stuttgart,"['Left Midfield', 'Left Defensive Midfield', 'Right Center Midfield']",2.0,63.0,1.0,1.0,"['Left Midfield', 'Right Center Midfield', 'Left Defensive Midfield']"
Carlos Augusto Zambrano Ochandarte,Peru,Eintracht Frankfurt,Right Center Back,24.0,1817.0,3.0,4.0,"['Center Attacking Midfield', 'Left Center Back', 'Right Center Back']"
Ceyhun Gülselam,Turkey,Hannover 96,Right Defensive Midfield,13.0,835.0,4.0,2.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Center Back']"
Charles Mariano Aránguiz Sandoval,Chile,Bayer Leverkusen,Left Defensive Midfield,7.0,480.0,2.0,0.0,"['Right Center Midfield', 'Center Forward', 'Left Defensive Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Center Defensive Midfield']"
