player,country,team,position,match_played,minutes_played,subbed_in,subbed_out,positions_played
Leroy Sané,Germany,Schalke 04,Right Wing,34.0,2437.0,10.0,9.0,"['Right Wing', 'Left Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Right Wing Back', 'Left Midfield', 'Left Defensive Midfield', 'Left Attacking Midfield', 'Left Wing Back', 'Right Attacking Midfield', 'Left Wing', 'Right Midfield']"
Levent Ayçiçek,Germany,Werder Bremen,0,0.0,0.0,0.0,0.0,[]
Levin Mete Öztunali,Germany,Werder Bremen,Right Midfield,25.0,1427.0,8.0,13.0,"['Right Wing', 'Left Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Back', 'Left Midfield', 'Left Wing Back', 'Left Center Forward', 'Left Wing', 'Right Midfield', 'Left Center Back']"
Lewis Harry Holtby,Germany,Hamburger SV,Left Defensive Midfield,34.0,2896.0,0.0,11.0,"['Right Wing', 'Center Defensive Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield']"
Loris Karius,Germany,FSV Mainz 05,Goalkeeper,34.0,3060.0,0.0,0.0,['Goalkeeper']
Luc Castaignos,Netherlands,Eintracht Frankfurt,Left Center Forward,19.0,956.0,7.0,11.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Left Midfield', 'Left Center Forward', 'Left Wing']"
Luca Caldirola,Italy,Darmstadt 98,Left Center Back,34.0,3060.0,0.0,0.0,"['Left Back', 'Left Center Back', 'Right Center Back']"
Luca-Milan Zander,Germany,Werder Bremen,"['Right Back', 'Center Defensive Midfield', 'Right Center Midfield']",2.0,104.0,1.0,1.0,"['Center Defensive Midfield', 'Right Back', 'Right Center Midfield']"
Luiz Gustavo Dias,Brazil,Wolfsburg,Left Defensive Midfield,22.0,1804.0,0.0,6.0,"['Right Defensive Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield']"
Lukas Boeder,Germany,Bayer Leverkusen,0,0.0,0.0,0.0,0.0,[]
Lukas Fröde,Germany,Werder Bremen,"['Left Defensive Midfield', 'Left Center Midfield']",8.0,138.0,7.0,0.0,"['Left Center Midfield', 'Right Center Midfield', 'Center Forward', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Center Defensive Midfield']"
Lukas Hinterseer,Austria,Ingolstadt,Center Forward,28.0,1741.0,9.0,15.0,"['Right Wing', 'Left Center Midfield', 'Right Center Forward', 'Center Forward', 'Left Midfield', 'Left Center Forward', 'Left Wing']"
Lukas Klünter,Germany,FC Köln,Right Midfield,1.0,18.0,1.0,0.0,['Right Midfield']
Lukas Rupp,Germany,VfB Stuttgart,Right Defensive Midfield,29.0,2109.0,5.0,10.0,"['Right Wing', 'Left Center Midfield', 'Left Back', 'Right Back', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Midfield']"
Lukáš Hrádecký,Finland,Eintracht Frankfurt,Goalkeeper,34.0,3060.0,0.0,0.0,['Goalkeeper']
László Kleinheisler,Hungary,Werder Bremen,Right Center Midfield,6.0,205.0,5.0,1.0,"['Left Midfield', 'Center Defensive Midfield', 'Left Wing', 'Right Center Midfield']"
Mahmoud Dahoud,Germany,Borussia Mönchengladbach,Right Defensive Midfield,32.0,2079.0,5.0,23.0,"['Center Attacking Midfield', 'Right Center Midfield', 'Right Center Back', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Center Defensive Midfield']"
Makoto Hasebe,Japan,Eintracht Frankfurt,Right Back,32.0,2672.0,1.0,7.0,"['Left Center Midfield', 'Left Back', 'Right Back', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield']"
Manuel Neuer,Germany,Bayern Munich,Goalkeeper,34.0,3020.0,0.0,1.0,['Goalkeeper']
Manuel Schmiedebach,Germany,Hannover 96,"['Left Defensive Midfield', 'Right Defensive Midfield']",22.0,1800.0,0.0,9.0,"['Center Attacking Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield']"
Marc Stendera,Germany,Eintracht Frankfurt,Left Center Midfield,26.0,2051.0,2.0,11.0,"['Left Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield']"
Marcel  Hilßner,Germany,Werder Bremen,Left Center Midfield,1.0,36.0,1.0,0.0,['Left Center Midfield']
Marcel Hartel,Germany,FC Köln,Left Midfield,6.0,103.0,6.0,0.0,"['Left Midfield', 'Left Wing', 'Right Midfield', 'Left Defensive Midfield']"
Marcel Heller,Germany,Darmstadt 98,Right Midfield,33.0,2938.0,0.0,10.0,"['Right Wing', 'Center Attacking Midfield', 'Left Midfield', 'Left Attacking Midfield', 'Left Wing', 'Right Midfield']"
Marcel Risse,Germany,FC Köln,Right Back,33.0,2961.0,0.0,2.0,"['Right Wing', 'Right Back', 'Right Center Midfield', 'Right Wing Back', 'Left Center Forward', 'Left Wing', 'Right Midfield']"
Marcel Schmelzer,Germany,Borussia Dortmund,Left Back,26.0,2068.0,4.0,1.0,"['Left Midfield', 'Left Wing Back', 'Left Back', 'Left Center Back']"
Marcel Schäfer,Germany,Wolfsburg,Left Back,21.0,1324.0,7.0,4.0,"['Left Center Midfield', 'Left Back', 'Right Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Left Midfield', 'Left Defensive Midfield', 'Left Wing', 'Left Center Back']"
Marcelo Alfonso Díaz Rojas,Chile,Hamburger SV,Left Defensive Midfield,11.0,487.0,7.0,2.0,"['Left Center Midfield', 'Center Defensive Midfield', 'Center Attacking Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Wing']"
Marcelo Antônio Guedes Filho,Brazil,Hannover 96,Right Center Back,19.0,1710.0,0.0,0.0,"['Center Back', 'Right Center Back']"
Marco Höger,Germany,Schalke 04,Left Defensive Midfield,5.0,190.0,2.0,3.0,"['Left Center Midfield', 'Right Center Forward', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield']"
Marco Jhonfai Fabián De La Mora,Mexico,Eintracht Frankfurt,Center Attacking Midfield,11.0,805.0,2.0,4.0,"['Right Wing', 'Left Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Left Midfield', 'Left Center Forward', 'Left Wing']"
Marco Reus,Germany,Borussia Dortmund,Left Wing,26.0,1922.0,2.0,17.0,"['Left Center Midfield', 'Right Wing', 'Center Attacking Midfield', 'Center Forward', 'Left Midfield', 'Left Center Forward', 'Left Wing']"
Marco Russ,Germany,Eintracht Frankfurt,Left Center Back,28.0,2360.0,2.0,2.0,"['Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Center Back']"
Marco Sailer,Germany,Darmstadt 98,Center Attacking Midfield,14.0,466.0,11.0,2.0,"['Right Center Forward', 'Center Attacking Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Right Midfield']"
Mario Götze,Germany,Bayern Munich,"['Center Attacking Midfield', 'Left Wing']",14.0,955.0,3.0,4.0,"['Left Center Midfield', 'Right Wing', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Right Wing Back', 'Left Midfield', 'Right Defensive Midfield', 'Right Attacking Midfield', 'Left Wing', 'Right Midfield']"
Mario Vrančić,Bosnia and Herzegovina,Darmstadt 98,Center Attacking Midfield,22.0,1053.0,10.0,11.0,"['Left Center Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield']"
Marius Gersbeck,Germany,Hertha Berlin,0,0.0,0.0,0.0,0.0,[]
Marius Wolf,Germany,Hannover 96,Left Midfield,2.0,140.0,0.0,2.0,['Left Midfield']
Mark Uth,Germany,Hoffenheim,Right Wing,25.0,1433.0,9.0,8.0,"['Right Wing', 'Left Center Midfield', 'Left Back', 'Right Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Right Wing Back', 'Left Midfield', 'Left Center Forward', 'Right Attacking Midfield', 'Left Wing', 'Right Midfield']"
Markus Feulner,Germany,Augsburg,"['Left Back', 'Right Back', 'Right Wing']",20.0,1196.0,9.0,2.0,"['Right Wing', 'Left Back', 'Center Attacking Midfield', 'Right Back', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Wing']"
Markus Suttner,Austria,Ingolstadt,Left Back,18.0,1347.0,3.0,3.0,"['Left Back', 'Right Back']"
Marlon Frey,Germany,Bayer Leverkusen,Right Defensive Midfield,9.0,266.0,7.0,2.0,"['Right Back', 'Center Forward', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Center Back']"
Marlon Ritter,Germany,Borussia Mönchengladbach,0,0.0,0.0,0.0,0.0,[]
Mart Ristl,Germany,VfB Stuttgart,"['Left Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Center Midfield']",3.0,52.0,3.0,0.0,"['Right Defensive Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Center Back']"
Martin Harnik,Austria,VfB Stuttgart,Right Center Forward,19.0,1021.0,8.0,5.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Right Wing Back', 'Left Midfield', 'Left Center Forward', 'Center Defensive Midfield', 'Right Midfield', 'Left Center Back']"
Martin Hinteregger,Austria,Borussia Mönchengladbach,Left Center Back,10.0,669.0,4.0,1.0,"['Left Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Wing Back', 'Left Center Back']"
Martin Stranzl,Austria,Borussia Mönchengladbach,Right Center Back,4.0,167.0,2.0,1.0,"['Left Defensive Midfield', 'Right Center Forward', 'Right Center Back']"
Marvin Friedrich,Germany,Schalke 04,"['Right Wing', 'Right Center Back', 'Center Forward']",2.0,8.0,2.0,0.0,"['Right Wing', 'Center Forward', 'Right Center Back']"
Marvin Matip,Cameroon,Ingolstadt,Right Center Back,33.0,2927.0,1.0,0.0,"['Left Center Back', 'Right Center Back']"
Marvin Plattenhardt,Germany,Hertha Berlin,Left Back,33.0,2970.0,0.0,0.0,"['Left Wing Back', 'Left Back']"
Marvin Schulz,Germany,Borussia Mönchengladbach,Right Defensive Midfield,8.0,407.0,4.0,0.0,"['Center Attacking Midfield', 'Right Center Midfield', 'Right Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Wing Back', 'Left Center Back']"
Marvin Wanitzek,Germany,VfB Stuttgart,Right Defensive Midfield,1.0,7.0,1.0,0.0,['Right Defensive Midfield']
Marwin Hitz,Switzerland,Augsburg,Goalkeeper,33.0,2966.0,0.0,1.0,['Goalkeeper']
Mathew Leckie,Australia,Ingolstadt,Left Wing,32.0,2481.0,4.0,10.0,"['Right Wing', 'Left Center Midfield', 'Right Center Forward', 'Right Center Midfield', 'Center Forward', 'Left Midfield', 'Left Center Forward', 'Left Wing', 'Right Midfield']"
Matija Nastasić,Serbia,Schalke 04,Left Center Back,1.0,16.0,0.0,1.0,['Left Center Back']
Mats Hummels,Germany,Borussia Dortmund,Left Center Back,30.0,2495.0,1.0,4.0,"['Right Defensive Midfield', 'Left Wing', 'Left Center Back']"
Matthias Ginter,Germany,Borussia Dortmund,Right Back,24.0,1893.0,3.0,3.0,"['Left Center Midfield', 'Left Back', 'Center Attacking Midfield', 'Right Back', 'Right Center Midfield', 'Right Wing Back', 'Right Center Back', 'Center Back', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Center Back']"
Matthias Lehmann,Germany,FC Köln,Right Defensive Midfield,32.0,2809.0,1.0,3.0,"['Center Attacking Midfield', 'Right Center Midfield', 'Right Attacking Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield']"
Matthias Ostrzolek,Germany,Hamburger SV,Left Back,32.0,2835.0,0.0,1.0,['Left Back']
Matthias Zimmermann,Germany,VfB Stuttgart,Right Back,2.0,165.0,0.0,1.0,['Right Back']
Maurice Hirsch,Germany,Hannover 96,0,0.0,0.0,0.0,0.0,[]
Maurice Multhaup,Germany,Ingolstadt,Center Forward,4.0,94.0,4.0,0.0,"['Right Wing', 'Left Wing', 'Left Midfield', 'Center Forward']"
Max Christiansen,Germany,Ingolstadt,Left Center Midfield,19.0,1053.0,7.0,6.0,"['Left Center Midfield', 'Right Wing', 'Right Center Midfield', 'Center Defensive Midfield', 'Right Midfield']"
Max Grün,Germany,Wolfsburg,0,0.0,0.0,0.0,0.0,[]
Max Kruse,Germany,Wolfsburg,Center Attacking Midfield,32.0,2426.0,4.0,12.0,"['Left Center Midfield', 'Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Left Midfield', 'Left Attacking Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing']"
Max Meyer,Germany,Schalke 04,Center Attacking Midfield,32.0,2319.0,5.0,19.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Right Wing Back', 'Left Midfield', 'Left Defensive Midfield', 'Left Attacking Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing', 'Left Wing Back', 'Right Midfield']"
Maximilian Arnold,Germany,Wolfsburg,Left Defensive Midfield,31.0,2060.0,9.0,7.0,"['Left Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Midfield']"
Maximilian Beister,Germany,FSV Mainz 05,Left Wing,1.0,9.0,1.0,0.0,['Left Wing']
Maximilian Eggestein,Germany,Werder Bremen,"['Left Center Forward', 'Left Midfield', 'Right Center Midfield']",7.0,188.0,5.0,2.0,"['Center Attacking Midfield', 'Right Center Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Left Wing']"
Maximilian Mittelstädt,Germany,Hertha Berlin,Right Midfield,3.0,185.0,1.0,0.0,"['Left Midfield', 'Right Midfield', 'Left Back']"
Medhi Amine El Mouttaqi Benatia,Morocco,Bayern Munich,Right Center Back,14.0,979.0,3.0,3.0,"['Right Defensive Midfield', 'Center Back', 'Left Center Back', 'Right Center Back']"
Melvyn Lorenzen,Germany,Werder Bremen,"['Left Midfield', 'Right Wing']",9.0,168.0,8.0,1.0,"['Right Wing', 'Left Center Midfield', 'Right Center Forward', 'Right Wing Back', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Right Attacking Midfield', 'Left Wing', 'Right Midfield']"
Mevlüt Erdinç,Turkey,Hannover 96,Center Forward,11.0,401.0,8.0,3.0,"['Left Center Midfield', 'Right Center Forward', 'Right Center Midfield', 'Center Forward', 'Left Attacking Midfield', 'Left Center Forward', 'Right Defensive Midfield']"
Michael Gregoritsch,Austria,Hamburger SV,Right Wing,25.0,1463.0,10.0,7.0,"['Left Center Midfield', 'Right Wing', 'Center Attacking Midfield', 'Center Forward', 'Left Midfield', 'Left Defensive Midfield', 'Left Wing', 'Right Midfield']"
Michael Gspurning,Austria,Schalke 04,0,0.0,0.0,0.0,0.0,[]
Michael Stegmayer,Germany,Darmstadt 98,0,0.0,0.0,0.0,0.0,[]
Michael Zetterer,Germany,Werder Bremen,0,1.0,90.0,0.0,0.0,[]
Miiko Martín Albornoz Inola,Chile,Hannover 96,Left Back,23.0,2070.0,0.0,1.0,['Left Back']
Mijat Gaćinović,Serbia,Eintracht Frankfurt,"['Right Wing', 'Left Midfield']",8.0,425.0,3.0,4.0,"['Right Wing', 'Center Attacking Midfield', 'Right Back', 'Left Midfield', 'Left Wing']"
Mike-Steven Bähre,Germany,Hannover 96,"['Right Wing', 'Center Attacking Midfield']",1.0,18.0,1.0,0.0,"['Right Wing', 'Center Attacking Midfield']"
Milan Ivana,Slovakia,Darmstadt 98,Left Midfield,1.0,3.0,1.0,0.0,['Left Midfield']
Milos Veljkovic,Serbia,Werder Bremen,Right Defensive Midfield,3.0,96.0,2.0,1.0,"['Right Defensive Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Left Midfield']"
Miloš Jojić,Serbia,FC Köln,Center Attacking Midfield,15.0,521.0,13.0,2.0,"['Right Wing', 'Left Center Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield']"
Miloš Pantović,Serbia,Bayern Munich,Left Center Midfield,1.0,1.0,1.0,0.0,['Left Center Midfield']
Mitchell James Langerak,Australia,VfB Stuttgart,Goalkeeper,2.0,180.0,0.0,0.0,['Goalkeeper']
Mitchell Weiser,Germany,Hertha Berlin,Right Back,29.0,2433.0,2.0,4.0,"['Right Wing', 'Right Back', 'Right Center Midfield', 'Left Midfield', 'Left Center Forward', 'Left Wing', 'Right Midfield']"
Moritz Hartmann,Germany,Ingolstadt,Right Wing,30.0,2018.0,6.0,20.0,"['Right Wing', 'Right Center Forward', 'Center Forward', 'Left Wing', 'Right Midfield']"
Moritz Leitner,Germany,Borussia Dortmund,Right Center Midfield,9.0,332.0,7.0,1.0,"['Left Center Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Midfield']"
Mustafa Batuhan Altıntaş,Turkey,Hamburger SV,Center Forward,1.0,30.0,1.0,0.0,['Center Forward']
Márcio Rafael Ferreira de Souza,Brazil,Bayern Munich,Right Back,25.0,1763.0,7.0,3.0,"['Right Wing', 'Center Defensive Midfield', 'Left Back', 'Right Back', 'Right Wing Back', 'Right Center Back', 'Left Wing', 'Left Center Back']"
Mërgim Mavraj,Albania,FC Köln,"['Center Back', 'Left Center Back']",12.0,992.0,1.0,0.0,"['Right Center Back', 'Left Wing Back', 'Center Back', 'Left Center Back']"
Nabil Bahoui,Sweden,Hamburger SV,Right Wing,6.0,226.0,4.0,2.0,"['Right Wing', 'Left Wing', 'Left Defensive Midfield', 'Right Center Midfield']"
Nadiem Amiri,Germany,Hoffenheim,Center Attacking Midfield,25.0,1483.0,9.0,8.0,"['Left Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing']"
Neven Subotić,Serbia,Borussia Dortmund,Right Center Back,6.0,468.0,1.0,0.0,['Right Center Back']
Nicklas Bendtner,Denmark,Wolfsburg,Center Forward,13.0,436.0,9.0,4.0,"['Right Center Forward', 'Right Center Midfield', 'Center Forward', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward']"
Nico Beyer,Germany,Hertha Berlin,0,0.0,0.0,0.0,0.0,[]
Nico Elvedi,Switzerland,Borussia Mönchengladbach,Right Center Back,21.0,1554.0,4.0,3.0,"['Left Back', 'Right Back', 'Right Center Midfield', 'Right Wing Back', 'Right Center Back', 'Right Midfield', 'Left Center Back']"
Nico Rinderknecht,Germany,Eintracht Frankfurt,"['Center Back', 'Right Center Midfield']",1.0,6.0,1.0,0.0,"['Right Center Midfield', 'Center Back']"
Nico Schulz,Germany,Borussia Mönchengladbach,Left Midfield,2.0,61.0,2.0,0.0,"['Left Midfield', 'Right Midfield', 'Left Center Midfield']"
Nicolai Müller,Germany,Hamburger SV,Right Wing,29.0,2163.0,2.0,17.0,"['Right Wing', 'Left Center Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Midfield', 'Left Wing', 'Right Midfield']"
Niki Dige Zimling,Denmark,FSV Mainz 05,0,0.0,0.0,0.0,0.0,[]
Niklas Feierabend,Germany,Hannover 96,0,0.0,0.0,0.0,0.0,[]
Niklas Stark,Germany,Hertha Berlin,Right Center Back,21.0,1427.0,6.0,1.0,"['Right Center Back', 'Left Defensive Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Center Back']"
Niklas Süle,Germany,Hoffenheim,Left Center Back,33.0,2970.0,0.0,0.0,"['Center Back', 'Left Center Back', 'Right Center Back']"
Niko Bungert,Germany,FSV Mainz 05,Right Center Back,21.0,1745.0,1.0,2.0,"['Center Forward', 'Center Back', 'Right Center Back', 'Right Defensive Midfield', 'Left Center Back']"
Nils-Jonathan Körber,Germany,Hertha Berlin,0,0.0,0.0,0.0,0.0,[]
Noah-Joel Sarenren-Bazee,Nigeria,Hannover 96,Right Wing,5.0,379.0,0.0,4.0,"['Right Wing', 'Left Wing']"
Nuri Şahin,Turkey,Borussia Dortmund,Left Defensive Midfield,9.0,505.0,3.0,3.0,"['Right Defensive Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Left Center Midfield']"
Odisseas Vlachodimos,Greece,VfB Stuttgart,Goalkeeper,3.0,204.0,1.0,0.0,"['Goalkeeper', 'Right Midfield']"
Oliver Baumann,Germany,Hoffenheim,Goalkeeper,33.0,2970.0,0.0,0.0,['Goalkeeper']
Oliver Hüsing,Germany,Werder Bremen,"['Left Center Back', 'Center Forward']",1.0,9.0,1.0,0.0,"['Center Forward', 'Left Center Back']"
Oliver Sorg,Germany,Hannover 96,Left Back,20.0,1593.0,1.0,4.0,"['Left Center Midfield', 'Left Back', 'Right Back', 'Right Center Midfield', 'Right Center Back', 'Right Defensive Midfield', 'Left Wing']"
Oscar Wendt,Sweden,Borussia Mönchengladbach,Left Back,30.0,2637.0,0.0,1.0,"['Left Center Midfield', 'Left Back', 'Left Midfield', 'Left Defensive Midfield', 'Left Wing Back', 'Left Center Back']"
Pablo Ezequiel De Blasis,Argentina,FSV Mainz 05,Right Wing,26.0,1671.0,8.0,12.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Right Wing Back', 'Left Midfield', 'Left Defensive Midfield', 'Left Wing Back', 'Right Attacking Midfield', 'Left Wing', 'Right Midfield']"
Papiss Mison Djilobodji,Senegal,Werder Bremen,Left Center Back,14.0,1260.0,0.0,0.0,['Left Center Back']
Pascal Groß,Germany,Ingolstadt,Right Center Midfield,32.0,2845.0,0.0,2.0,"['Left Center Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield']"
Pascal Stenzel,Germany,Borussia Dortmund,0,0.0,0.0,0.0,0.0,[]
Patrick Herrmann,Germany,Borussia Mönchengladbach,Right Midfield,18.0,660.0,13.0,4.0,"['Right Wing', 'Right Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Right Wing Back', 'Left Midfield', 'Left Wing Back', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing', 'Right Midfield']"
Patrick Platins,Germany,Darmstadt 98,0,0.0,0.0,0.0,0.0,[]
Patrick Weihrauch,Germany,Bayern Munich,0,0.0,0.0,0.0,0.0,[]
Patrik Džalto,Croatia,Bayer Leverkusen,0,0.0,0.0,0.0,0.0,[]
Paul Seguin,Germany,Wolfsburg,Right Center Midfield,4.0,181.0,2.0,1.0,"['Center Attacking Midfield', 'Right Back', 'Right Center Midfield', 'Center Forward', 'Right Defensive Midfield']"
Paul Verhaegh,Netherlands,Augsburg,Right Back,25.0,2199.0,0.0,1.0,"['Right Wing Back', 'Right Back']"
Pavel Kadeřábek,Czech Republic,Hoffenheim,Right Back,28.0,2242.0,3.0,3.0,"['Right Center Back', 'Left Defensive Midfield', 'Right Wing Back', 'Right Back']"
Paweł Olkowski,Poland,FC Köln,Right Back,19.0,1064.0,6.0,7.0,"['Left Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Right Back', 'Right Wing Back', 'Right Midfield']"
Per Ciljan Skjelbred,Norway,Hertha Berlin,Right Defensive Midfield,31.0,2692.0,0.0,6.0,"['Left Center Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Midfield']"
Peter Niemeyer,Germany,Darmstadt 98,Right Defensive Midfield,31.0,2560.0,0.0,11.0,"['Center Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield']"
Peter Pekarík,Slovakia,Hertha Berlin,Right Back,12.0,1065.0,0.0,1.0,"['Right Wing Back', 'Right Back']"
Philip Heise,Germany,VfB Stuttgart,"['Left Back', 'Left Midfield']",5.0,157.0,4.0,0.0,"['Left Midfield', 'Left Wing', 'Left Back', 'Right Center Back']"
Philipp Bargfrede,Germany,Werder Bremen,Center Defensive Midfield,14.0,1183.0,0.0,2.0,"['Left Center Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield']"
Philipp Hosiner,Austria,FC Köln,"['Right Center Forward', 'Left Center Forward']",15.0,602.0,11.0,2.0,"['Right Wing', 'Right Center Forward', 'Right Back', 'Right Center Midfield', 'Center Forward', 'Left Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing']"
Philipp Lahm,Germany,Bayern Munich,Right Back,26.0,2200.0,1.0,5.0,"['Right Wing', 'Left Back', 'Right Back', 'Right Center Midfield', 'Right Wing Back', 'Right Center Back', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Midfield']"
Philipp Max,Germany,Augsburg,Left Back,26.0,2097.0,3.0,3.0,"['Right Wing', 'Left Wing', 'Left Wing Back', 'Left Back']"
Philipp Ochs,Germany,Hoffenheim,Left Center Midfield,13.0,583.0,7.0,5.0,"['Left Center Midfield', 'Left Back', 'Center Attacking Midfield', 'Right Center Midfield', 'Right Center Back', 'Left Defensive Midfield', 'Right Attacking Midfield', 'Left Wing Back']"
Philipp Tschauner,Germany,Hannover 96,0,0.0,0.0,0.0,0.0,[]
Phillipp Klement,Germany,FSV Mainz 05,"['Center Attacking Midfield', 'Right Wing', 'Right Defensive Midfield', 'Left Defensive Midfield']",2.0,36.0,2.0,0.0,"['Right Wing', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Right Defensive Midfield']"
Phillipp Steinhart,Germany,Bayern Munich,0,0.0,0.0,0.0,0.0,[]
Pierre Bengtsson,Sweden,FSV Mainz 05,Left Back,16.0,1276.0,2.0,2.0,"['Left Defensive Midfield', 'Left Back', 'Center Forward', 'Left Center Back']"
Pierre-Emerick Aubameyang,Gabon,Borussia Dortmund,Center Forward,31.0,2471.0,3.0,9.0,"['Right Wing', 'Right Center Forward', 'Center Forward', 'Left Center Forward', 'Right Defensive Midfield']"
Pierre-Emile Højbjerg,Denmark,Schalke 04,Left Defensive Midfield,23.0,1310.0,10.0,4.0,"['Left Center Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Forward', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Center Back']"
Pierre-Michel Lasogga,Germany,Hamburger SV,Center Forward,30.0,1779.0,9.0,12.0,"['Right Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Left Defensive Midfield', 'Left Center Forward', 'Right Defensive Midfield', 'Left Wing']"
Piotr Trochowski,Germany,Augsburg,Center Attacking Midfield,6.0,159.0,4.0,2.0,"['Right Wing', 'Left Center Midfield', 'Center Attacking Midfield', 'Right Defensive Midfield', 'Right Midfield']"
Pirmin Schwegler,Switzerland,Hoffenheim,Right Defensive Midfield,21.0,1427.0,5.0,6.0,"['Left Center Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield']"
