,player,pass_accuracy,up_pass_accuracy,pass_accuracy_progressive,up_pass_accuracy_progressive,pass_accuracy_backward,pass_horizontal_backward,up_pass_accuracy_backward,pass_accuracy_into_box,pass_accuracy_into_box,up_pass_accuracy_into_box,pass_accuaracy_short,pass_accuaracy_medium,pass_accuaracy_long,pass_accuracy_within_attacking_third,up_pass_accuracy_within_attacking_third,pass_progressive_lead_to_shot_%,pass_progressive_lead_to_goal_%,pass_mean_distance,pass_accuracy_cuts_last_line_of_defence,passes_from_attacking_third,passes_from_middle_third,passes_from_defending_third,passes_from_the_box,passes_into_attacking_third,passes_into_box,passes_into_box_completed,passes_into_goal_area,passes_into_edge_of_the_box,passes_within_attacking_third,passes_within_attacking_third_completed,passes_total_distance,passes_short_total,passes_short_completed,passes_medium_completed,passes_medium_total,passes_long_total,passes_long_completed,passes_shot_assist,passes_goal_assist,passes_switch,passes_cross,passes_cut_back,passes_vertical_into_edge_of_the_box,passes_vertical_into_the_box,passes_horizontal_into_the_box,passes_horizontal_into_edge_of_the_box,passes_cut_back_into_edge_of_the_box,passes_high_vertical_into_edge_of_the_box,passes_high_vertical_into_the_box,passes_low_vertical_into_edge_of_the_box,passes_low_vertical_into_the_box,passes_high_horizontal_into_the_box,passes_high_horizontal_into_edge_of_the_box,passes_low_horizontal_into_the_box,passes_low_horizontal_into_edge_of_the_box,passes_progressive,passes_progressive_completed,passes_horizontal,passes_backward,passes_backward_completed,passes_long_vertical,passes_long_vertical_from_defending_third,passes_long_vertical_from_mid_third,passes_long_vertical_from_mid_third_into_the_box,key_passes
117,Florian Jungwirth,0.606,0.5,0.551,0.439,0.942,1.0,0.818,0.348,0.348,1.0,0.788,0.605,0.457,0.569,0.4,0.013,0.0,22.032,,124,218,150,5,198,46,16,8,23,123,70,10839.582285800001,137,108,138,228,105,48,5,0,13,15,0,8,14,16,3,0,7,12,0,1,16,3,0,0,381,210,39,52,49,66,66,26,6,5
118,Florian Klein,0.718,0.66,0.616,0.509,0.961,1.0,0.893,0.377,0.377,0.333,0.861,0.735,0.344,0.667,0.567,0.029,0.002,18.51,1.0,191,313,166,4,268,53,20,5,33,174,116,12401.5329128,296,255,189,257,90,31,12,1,10,29,2,5,11,21,14,2,4,7,1,3,14,9,3,2,414,255,80,152,146,57,57,24,2,13
119,Florian Kohls,0.667,0.667,0.5,0.5,,1.0,,,,,1.0,0.0,,,,0.0,0.0,14.291,,0,3,0,0,0,0,0,0,0,0,0,42.872404,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0
120,Florian Niederlechner,0.541,0.5,0.286,0.25,0.933,1.0,0.75,0.0,0.0,,0.643,0.5,0.25,0.2,0.333,0.0,0.0,15.994,,10,21,6,1,10,1,0,0,1,5,1,591.7746802,14,9,5,10,4,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,14,4,2,15,14,3,3,2,1,0
121,Francisco José Rodriguez Araya,0.842,1.0,0.727,,1.0,1.0,1.0,0.333,0.333,,0.857,1.0,0.8,0.6,1.0,0.091,0.0,23.309,,6,12,1,0,9,3,1,0,2,5,3,442.880324,7,6,6,6,5,4,1,0,1,0,0,2,3,0,0,0,2,2,0,0,0,0,0,0,11,8,6,2,2,2,2,2,1,1
122,Franck Bilal Ribéry,0.772,0.77,0.606,0.6,0.949,1.0,0.915,0.416,0.416,0.444,0.846,0.828,0.529,0.665,0.629,0.122,0.016,17.825,2.0,303,238,17,32,309,77,32,22,57,254,169,9946.368301,272,230,140,169,87,46,23,3,22,37,4,10,28,19,20,2,9,16,0,11,7,7,8,9,188,114,92,237,225,22,22,18,11,26
123,Franco Matías Di Santo,0.619,0.509,0.408,0.4,0.846,1.0,0.794,0.44,0.44,0.5,0.683,0.651,0.588,0.535,0.405,0.133,0.008,15.373,1.5,124,158,17,14,151,25,11,4,18,114,61,4596.43633855,142,97,54,83,34,20,16,1,8,16,1,3,8,8,5,1,1,4,2,3,3,1,4,4,120,49,37,117,99,12,12,7,2,17
124,Frederik Hillesborg Sørensen,0.757,0.583,0.639,0.46,0.994,1.0,1.0,0.27,0.27,0.25,0.866,0.856,0.602,0.55,0.714,0.002,0.003,27.222,7.0,47,456,402,3,182,37,10,2,15,40,22,24636.259627900003,142,123,356,416,337,203,1,2,33,3,0,9,23,8,4,0,7,18,0,1,7,3,1,1,581,371,157,158,157,183,183,83,17,3
125,Fynn Arkenberg,0.61,0.6,0.476,0.556,1.0,1.0,1.0,0.25,0.25,,0.857,0.577,0.273,0.615,1.0,0.0,0.0,20.774,,16,33,10,0,25,4,1,0,1,13,8,1225.6534791000001,21,18,15,26,11,3,0,0,1,2,0,0,1,1,0,0,0,1,0,0,1,0,0,0,42,20,4,12,12,7,7,6,0,0
126,Gaëtan Bussmann,0.657,0.427,0.577,0.361,0.991,1.0,1.0,0.233,0.233,0.2,0.802,0.713,0.369,0.669,0.579,0.022,0.0,20.7,inf,159,295,159,5,251,30,7,6,20,148,99,12688.9092991,207,166,189,265,111,41,10,0,7,19,0,5,13,13,11,0,5,11,0,2,10,8,3,3,449,259,36,109,108,82,82,47,6,10
127,Genki Haraguchi,0.717,0.696,0.631,0.56,0.891,1.0,0.886,0.371,0.371,0.385,0.824,0.677,0.618,0.598,0.532,0.065,0.008,16.259,inf,302,379,97,27,334,62,23,18,58,264,158,12649.625087,380,313,182,269,76,47,23,3,14,57,3,3,7,30,33,2,1,3,1,2,18,20,8,9,355,224,97,266,237,20,20,13,1,26
128,Georg Niedermeier,0.821,0.526,0.744,0.444,0.949,1.0,0.818,0.25,0.25,0.0,0.816,0.883,0.707,0.4,0.333,0.007,0.002,24.082,,16,290,332,6,65,8,2,3,4,15,6,15364.2549048,141,115,286,324,164,116,3,1,23,0,0,4,8,0,0,0,2,4,1,2,0,0,0,0,407,303,146,79,75,71,71,27,2,4
129,Gian-Luca Waldschmidt,0.736,0.842,0.613,0.667,0.931,1.0,0.9,0.364,0.364,1.0,0.952,0.688,0.143,0.567,0.714,0.226,0.032,14.278,1.5,32,34,6,7,36,11,4,5,11,30,17,1027.987471,42,40,11,16,7,1,7,1,2,5,1,2,6,0,2,1,1,2,1,4,0,0,0,2,31,19,7,29,27,3,3,2,1,8
130,Gideon Jung,0.769,0.634,0.628,0.435,0.941,1.0,0.913,0.2,0.2,0.0,0.856,0.814,0.633,0.842,1.0,0.011,0.0,19.195,inf,21,335,99,0,82,5,1,0,1,19,16,8733.69005936,174,149,136,167,79,50,3,0,16,0,0,1,4,1,0,0,0,1,1,3,1,0,0,0,261,164,75,118,111,38,38,23,4,3
131,Giulio Donati,0.69,0.625,0.608,0.52,0.959,1.0,0.886,0.279,0.279,0.143,0.815,0.713,0.52,0.661,0.483,0.011,0.001,21.497,1.5,247,548,248,5,413,61,17,4,39,227,150,22421.2117683,362,295,298,418,221,115,8,1,25,31,2,10,23,21,16,1,10,19,0,4,17,13,2,2,719,437,97,194,186,135,135,76,14,9
132,Gojko Kačar,0.779,0.75,0.661,0.618,0.95,1.0,0.931,0.4,0.4,0.0,0.865,0.828,0.551,0.682,0.8,0.003,0.0,20.06,1.0,51,347,131,2,114,10,4,0,3,44,30,10611.90718217,200,173,183,221,89,49,1,0,15,1,0,2,8,2,1,0,1,6,1,2,0,0,2,1,292,193,87,139,132,38,38,23,4,1
133,Gonzalo Alejandro Jara Reyes,0.777,0.788,0.631,0.6,0.967,1.0,0.923,0.5,0.5,,0.955,0.773,0.631,0.684,0.333,0.023,0.0,23.224,2.0,23,144,62,1,49,8,4,3,5,19,13,5318.314258,66,63,68,88,65,41,3,0,14,2,0,2,5,0,0,0,2,2,0,3,0,0,0,0,130,82,37,61,59,27,27,10,1,3
134,Gonzalo Castro Randon,0.82,0.75,0.685,0.564,0.946,1.0,0.895,0.351,0.351,0.474,0.868,0.858,0.602,0.698,0.667,0.051,0.016,17.564,2.667,316,631,69,21,370,77,27,10,35,262,183,17845.1825186,479,416,325,379,118,71,22,7,16,13,2,16,53,12,10,2,10,18,6,34,7,5,2,4,432,296,185,372,352,58,58,38,10,29
135,Gotoku Sakai,0.738,0.669,0.624,0.567,0.963,1.0,0.9,0.365,0.365,0.3,0.864,0.75,0.468,0.665,0.519,0.021,0.002,19.515,,246,528,257,8,326,63,23,6,37,215,143,20120.0948213,418,361,318,424,154,72,13,1,28,30,2,5,19,20,16,1,5,12,0,5,15,13,1,1,622,388,115,268,258,88,88,41,6,14
136,Granit Xhaka,0.854,0.805,0.772,0.668,0.964,1.0,0.934,0.389,0.389,0.25,0.888,0.896,0.758,0.795,0.833,0.014,0.0,21.767,2.667,178,1628,413,4,505,54,21,1,19,146,116,48300.1619792,770,684,833,930,466,353,17,0,107,4,0,15,45,2,2,0,10,29,4,13,2,2,0,0,1257,971,418,525,506,173,173,149,29,17
137,Gustavo Adrián Ramos Vásquez,0.694,0.613,0.484,0.366,0.851,1.0,0.804,0.118,0.118,0.0,0.756,0.635,0.667,0.646,0.595,0.074,0.032,15.431,5.0,119,131,8,13,125,17,2,3,12,96,62,3981.3222556,135,102,47,74,27,18,7,3,1,5,1,2,8,2,3,0,2,3,0,4,2,1,0,1,95,46,30,121,103,11,11,8,1,10
138,György Garics,0.625,0.493,0.578,0.435,0.986,1.0,0.857,0.368,0.368,0.5,0.752,0.686,0.4,0.606,0.5,0.006,0.0,23.274,,142,275,210,1,262,76,28,7,26,137,83,14592.7361067,165,124,197,287,155,62,3,0,8,12,0,8,20,37,14,0,8,17,0,2,33,12,2,0,490,283,40,70,69,107,107,53,10,3
139,Hakan Çalhanoğlu,0.684,0.757,0.582,0.591,0.924,1.0,0.945,0.321,0.321,0.571,0.847,0.752,0.444,0.592,0.789,0.102,0.007,21.797,3.0,659,690,108,21,812,274,88,59,222,610,361,31758.701871470003,567,480,310,412,392,174,74,5,116,86,4,48,76,28,28,0,47,58,1,16,23,23,4,3,729,424,207,396,366,120,120,77,22,79
140,Halil Altıntop,0.788,0.747,0.602,0.463,0.954,1.0,0.946,0.6,0.6,0.667,0.885,0.838,0.615,0.755,0.885,0.081,0.012,17.832,5.0,107,236,35,4,143,20,12,1,10,98,74,6740.507048750001,165,146,109,130,52,32,13,2,12,3,0,6,16,0,0,0,3,7,2,8,0,0,0,0,161,97,55,153,146,18,18,14,4,15
141,Haris Seferović,0.64,0.584,0.413,0.4,0.874,1.0,0.829,0.284,0.284,0.292,0.729,0.641,0.491,0.54,0.52,0.053,0.011,16.98,inf,426,443,31,32,464,81,23,15,64,367,198,15281.637717,413,301,196,306,108,53,20,4,23,43,3,19,35,22,25,0,10,15,7,14,14,16,3,6,378,156,115,349,305,32,32,22,6,24
142,Henrikh Mkhitaryan,0.712,0.685,0.534,0.486,0.933,1.0,0.889,0.374,0.374,0.36,0.823,0.74,0.482,0.637,0.659,0.108,0.022,17.809,2.2,826,582,79,64,855,230,86,43,172,728,464,26482.2083096,689,567,355,480,222,107,63,13,57,80,8,39,81,42,46,6,17,23,19,52,14,15,16,17,584,312,219,566,528,61,61,36,14,76
143,Heung-Min Son,0.778,0.8,0.714,0.5,1.0,1.0,1.0,1.0,1.0,,0.769,0.667,1.0,0.8,0.667,0.0,0.0,14.942,,11,6,1,2,12,1,1,1,2,10,8,268.961643,13,10,2,3,2,2,0,0,0,1,0,0,1,0,2,0,0,0,0,1,0,0,0,2,7,5,3,6,6,1,1,1,0,0
144,Hiroki Sakai,0.719,0.558,0.611,0.466,0.965,1.0,0.917,0.309,0.309,0.2,0.833,0.755,0.429,0.659,0.535,0.014,0.0,19.094,inf,376,586,338,14,492,81,25,7,45,340,224,24822.707955,492,410,434,575,177,76,11,0,13,40,7,9,20,38,26,3,8,15,0,3,27,13,2,3,792,484,146,316,305,123,123,62,11,11
145,Hiroshi Kiyotake,0.722,0.709,0.632,0.64,0.929,1.0,0.811,0.315,0.315,0.4,0.847,0.774,0.441,0.55,0.698,0.11,0.013,19.195,3.2,381,557,58,5,506,184,58,41,135,358,197,19117.8511663,444,376,222,287,213,94,50,6,43,48,3,30,66,24,20,3,24,42,3,19,15,13,4,3,456,288,132,322,299,81,81,59,24,56
146,Holger Badstuber,0.904,0.833,0.833,0.704,0.988,1.0,0.938,0.0,0.0,0.0,0.946,0.94,0.797,0.833,0.5,0.005,0.0,21.713,inf,19,228,148,0,34,3,0,0,1,12,10,8576.7412609,130,123,171,182,79,63,1,0,16,1,0,0,2,1,1,0,0,2,0,0,1,1,0,0,216,180,94,84,83,25,25,16,2,1
147,Hotaru Yamaguchi,0.832,0.795,0.784,0.708,0.955,1.0,1.0,0.0,0.0,0.0,0.864,0.859,0.583,0.867,1.0,0.01,0.0,16.599,,19,105,43,1,29,2,0,0,1,15,13,2772.00269006,88,76,55,64,12,7,1,0,1,1,0,0,1,1,1,0,0,1,0,0,1,1,0,0,97,76,21,44,42,8,8,7,1,1
148,Hugo Miguel Pereira de Almeida,0.538,0.509,0.328,0.3,0.859,1.0,0.833,0.261,0.261,0.0,0.633,0.492,0.357,0.463,0.409,0.052,0.0,17.149,inf,112,88,10,14,122,23,6,2,14,95,44,3601.3375698,109,69,31,63,28,10,6,0,7,11,1,3,6,5,3,0,2,4,0,1,5,3,0,0,116,38,20,64,55,11,11,6,1,6
149,Håvard Nordtveit,0.832,0.686,0.751,0.593,0.982,1.0,0.957,0.326,0.326,0.0,0.891,0.91,0.684,0.714,0.647,0.006,0.001,24.28,8.0,91,1093,584,9,317,46,15,2,24,77,55,42926.4364939,476,424,724,796,459,314,7,1,80,5,0,18,35,2,3,0,14,30,2,3,2,2,0,1,1123,843,308,326,320,195,195,114,26,8
150,Ibrahima Traoré,0.734,0.71,0.641,0.569,0.919,1.0,0.877,0.394,0.394,0.3,0.822,0.816,0.55,0.614,0.604,0.102,0.003,19.651,4.0,344,356,75,20,377,132,52,21,84,316,194,15229.8797918,321,264,217,266,151,83,34,1,44,47,3,14,34,22,16,2,12,18,2,14,15,10,4,5,334,214,127,248,228,30,30,19,7,35
151,Ismail Azzaoui,0.778,1.0,0.5,,1.0,1.0,1.0,0.0,0.0,,0.75,0.75,,0.0,,0.0,0.0,13.724,,3,6,0,1,3,1,0,0,2,2,0,123.51368649999999,4,3,3,4,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,5,5,0,0,0,0,0
152,Ivan Perišić,0.702,0.5,0.556,0.25,0.941,1.0,0.75,0.0,0.0,0.0,0.821,0.783,0.5,0.485,0.0,0.074,0.0,18.202,,39,40,5,7,42,9,0,6,12,33,16,1528.9883459,39,32,18,23,16,8,2,0,1,9,0,2,2,3,6,0,2,2,0,0,2,3,0,2,27,15,12,34,32,3,3,1,0,2
153,Iver Tobias Rørvik Fossum,0.728,0.72,0.608,0.63,0.931,1.0,0.864,0.294,0.294,0.333,0.772,0.77,0.633,0.67,0.694,0.057,0.0,15.467,inf,111,178,34,5,139,17,5,1,11,103,69,4995.9246696,171,132,77,100,30,19,10,0,6,7,0,3,7,6,5,0,3,4,0,3,3,2,2,2,176,107,47,87,81,12,12,9,1,10
154,Ivica Olić,0.593,0.615,0.55,1.0,0.762,1.0,0.4,0.0,0.0,0.0,0.769,0.615,0.2,0.519,0.333,0.05,0.0,13.586,,29,16,9,4,28,5,0,2,5,27,14,733.6611107,26,20,8,13,5,1,1,0,0,5,1,0,0,3,2,0,0,0,0,0,2,2,1,0,20,11,5,21,16,3,3,0,0,1
155,Ivo Iličević,0.718,0.692,0.576,0.545,0.903,1.0,0.865,0.309,0.309,0.4,0.812,0.756,0.482,0.579,0.588,0.076,0.006,17.237,8.0,292,452,95,18,349,81,25,15,62,247,143,14461.5464689,389,316,211,279,110,53,26,2,30,44,3,8,27,28,28,3,6,12,1,13,18,16,5,9,340,196,116,321,290,37,37,24,9,28
156,Ja-Cheol Koo,0.79,0.706,0.663,0.564,0.928,1.0,0.841,0.343,0.343,0.5,0.88,0.812,0.588,0.698,0.571,0.069,0.003,16.844,6.0,212,524,107,23,283,35,12,4,27,189,132,14199.306410789999,409,360,216,266,102,60,26,1,23,16,0,6,15,4,7,0,4,9,1,4,2,3,1,2,377,250,131,307,285,38,38,26,7,27
157,Jairo Samperio Bustara,0.664,0.612,0.534,0.491,0.871,1.0,0.833,0.446,0.446,0.467,0.737,0.762,0.452,0.634,0.62,0.067,0.012,16.099,2.167,271,305,82,29,321,65,29,11,42,246,156,10593.450455350001,323,238,157,206,73,33,23,4,7,25,5,13,34,11,14,4,4,10,7,21,5,5,2,7,341,182,86,194,169,42,42,25,6,27
158,Jan Kliment,0.756,0.667,0.688,0.667,0.842,1.0,0.833,0.4,0.4,,0.957,0.643,0.25,0.708,0.75,0.188,0.0,14.86,,25,19,1,3,29,5,2,0,6,24,17,668.6799775,23,22,9,14,4,1,3,0,0,3,1,0,0,1,2,1,0,0,0,0,1,1,0,1,16,11,7,19,16,0,0,0,0,3
159,Jan Morávek,0.768,0.605,0.64,0.519,0.902,1.0,0.8,0.6,0.6,,0.8,0.767,0.636,0.783,0.583,0.056,0.0,15.103,inf,53,99,25,4,61,5,3,0,2,46,36,2673.1881095,95,76,46,60,11,7,5,0,5,1,0,0,2,1,1,0,0,2,0,0,1,0,0,1,89,57,33,51,46,2,2,1,1,5
160,Jan Rosenthal,0.589,0.516,0.419,0.424,0.812,1.0,0.645,0.321,0.321,0.214,0.608,0.613,0.519,0.515,0.517,0.039,0.005,16.498,1.0,146,180,49,22,191,28,9,5,22,132,68,6186.6286643,166,101,65,106,52,27,8,1,4,10,1,10,20,4,8,0,7,13,2,3,2,7,1,0,203,85,54,101,82,27,27,16,4,9
161,Jan-Ingwer Callsen-Bracker,0.841,0.723,0.748,0.586,1.0,1.0,1.0,0.333,0.333,0.0,0.909,0.909,0.722,0.5,0.5,0.005,0.0,27.172,,9,173,164,1,45,12,4,0,6,8,4,9401.661835699999,55,50,159,175,115,83,1,0,23,0,0,3,9,0,0,0,2,7,0,1,0,0,0,0,206,154,90,47,47,43,43,24,7,1
162,Janek Sternberg,0.667,0.737,0.583,0.667,0.929,1.0,0.923,0.28,0.28,0.0,0.862,0.681,0.343,0.537,0.455,0.017,0.0,20.723,inf,59,96,46,3,78,25,7,4,16,54,29,4165.4173653,65,56,64,94,35,12,2,0,5,12,0,4,6,13,9,0,4,5,0,0,10,6,1,2,120,70,25,42,39,19,19,11,4,2
163,Jannik Vestergaard,0.754,0.657,0.658,0.568,0.987,1.0,0.973,0.238,0.238,0.0,0.83,0.827,0.608,0.515,0.412,0.004,0.0,26.444,4.0,37,784,471,8,262,21,5,0,11,33,17,34166.1736713,282,234,498,602,388,236,4,0,77,2,0,9,20,0,1,0,8,19,0,0,0,0,0,0,901,593,229,154,152,198,198,119,16,4
164,Jaroslav Drobný,0.503,0.409,0.498,0.409,,1.0,,0.2,0.2,,1.0,0.983,0.375,,,0.0,0.003,54.225,1.0,0,1,313,0,70,5,1,0,3,0,0,17026.526092699998,8,8,57,58,248,93,0,1,8,0,0,3,5,0,0,0,3,5,0,0,0,0,0,0,311,155,3,0,0,231,231,1,0,1
165,Javier Hernández Balcázar,0.741,0.71,0.65,0.643,0.883,1.0,0.887,0.457,0.457,0.571,0.807,0.77,0.529,0.644,0.698,0.118,0.01,14.835,2.25,238,302,9,28,254,46,21,8,30,216,139,8144.4733507,274,221,117,152,51,27,24,2,17,23,2,8,18,14,12,0,4,4,3,13,5,4,5,4,203,132,87,213,188,13,13,9,2,26
166,Javier Martínez Aginaga,0.894,0.699,0.83,0.557,0.955,1.0,0.886,0.375,0.375,0.0,0.927,0.92,0.791,0.707,0.5,0.01,0.002,20.652,2.0,48,574,285,6,118,16,6,0,7,41,29,18730.951076499998,287,266,436,474,134,106,5,1,14,4,0,3,10,3,2,0,3,9,0,1,2,2,0,0,488,405,236,178,170,52,52,27,6,6
167,Jean-Eric Maxim Choupo-Moting,0.723,0.626,0.575,0.42,0.915,1.0,0.854,0.467,0.467,0.375,0.802,0.718,0.676,0.654,0.556,0.093,0.006,16.179,inf,288,365,79,38,335,60,28,8,44,269,176,11843.1815982,353,283,181,252,68,46,31,2,20,39,4,4,19,22,26,4,4,6,0,10,15,19,3,4,332,191,100,260,238,26,26,14,2,33
168,Jeffrey Gouweleeuw,0.789,0.649,0.69,0.62,1.0,1.0,1.0,0.3,0.3,0.333,0.911,0.897,0.61,0.6,0.333,0.009,0.0,27.831,2.5,12,250,249,1,105,10,3,1,4,10,6,14221.83872445,90,82,208,232,182,111,3,0,32,1,0,3,9,0,0,0,1,6,1,1,0,0,0,0,339,234,102,67,67,101,101,55,6,3
169,Jens Hegeler,0.837,0.765,0.735,0.718,0.963,1.0,0.87,0.2,0.2,,0.909,0.84,0.667,0.611,0.25,0.01,0.0,16.006,inf,21,157,37,2,45,5,1,1,4,18,11,3441.3240569,110,100,63,75,18,12,1,0,1,0,0,2,4,1,2,0,2,2,0,1,0,0,0,0,98,72,30,81,78,6,6,5,2,1
170,Jeong-Ho Hong,0.844,0.73,0.755,0.622,0.987,1.0,1.0,0.0,0.0,0.0,0.868,0.918,0.767,0.5,0.5,0.005,0.0,27.13,inf,12,443,464,4,107,5,0,1,4,12,6,24932.6672574,174,151,379,413,317,243,3,0,82,2,1,2,4,0,0,1,2,3,0,0,0,0,0,0,547,413,208,157,155,105,105,50,3,3
171,Jeremy Toljan,0.735,0.64,0.61,0.531,0.982,1.0,0.9,0.343,0.343,0.571,0.855,0.767,0.5,0.646,0.458,0.012,0.0,19.058,,178,363,162,14,242,35,12,6,18,161,104,13397.569096800002,269,230,234,305,98,49,5,0,8,14,1,4,15,12,12,1,1,6,3,8,6,4,2,6,400,244,50,227,223,64,64,32,7,5
172,Jhon Andrés Córdoba Copete,0.756,0.66,0.639,0.542,0.831,1.0,0.756,0.4,0.4,0.4,0.797,0.726,0.64,0.642,0.562,0.084,0.024,14.017,2.0,98,152,16,16,99,15,6,1,4,81,52,3728.5221646500004,138,110,45,62,25,16,7,2,3,5,5,1,6,1,2,1,1,1,0,4,0,0,1,2,83,53,45,124,103,8,8,4,2,9
173,Jiloan Hamad,0.667,0.625,0.517,0.4,0.884,1.0,0.75,0.5,0.5,0.667,0.755,0.688,0.545,0.625,1.0,0.034,0.0,19.374,inf,36,68,22,2,49,12,6,0,6,32,20,2441.065592,49,37,33,48,22,12,2,0,2,2,0,3,8,2,2,0,2,2,0,5,1,1,1,1,58,30,16,43,38,11,11,9,2,2
174,Jin-Su Kim,0.725,0.67,0.606,0.518,0.972,1.0,0.964,0.387,0.387,1.0,0.845,0.77,0.492,0.645,0.833,0.01,0.0,21.038,inf,113,332,217,0,176,31,12,3,12,93,60,13927.110246999999,226,191,217,282,130,64,4,0,8,9,1,2,9,7,3,0,1,5,0,3,6,2,1,1,414,251,57,177,172,90,90,39,3,4
175,Joel Gerezgiher,0.484,0.417,0.5,0.429,0.5,1.0,0.5,0.25,0.25,0.0,0.5,0.636,0.429,0.5,0.429,0.045,0.0,19.123,inf,14,16,1,0,21,4,1,0,2,12,6,592.8026595,10,5,7,11,7,3,1,0,0,0,0,2,2,1,0,0,1,1,1,1,1,0,0,0,22,11,1,6,3,6,6,3,0,1
176,Joelinton Cassio Apolinário de Lira,0.667,1.0,0.5,1.0,1.0,,1.0,0.0,0.0,,1.0,0.0,,0.0,,0.0,0.0,16.27,,1,2,0,0,1,1,0,0,0,1,0,48.808773,2,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2,1,0,1,1,0,0,0,0,0
177,Johan Danon Djourou-Gbadjere,0.831,0.791,0.762,0.724,0.991,1.0,1.0,0.143,0.143,0.0,0.889,0.904,0.707,0.667,0.5,0.001,0.0,26.605,1.0,19,552,552,5,130,14,2,1,8,18,12,29877.749854899997,208,185,480,531,372,263,1,0,78,3,0,4,12,1,1,0,4,11,0,1,1,1,0,0,774,590,232,112,111,156,156,73,8,1
178,Johannes Flum,0.675,0.765,0.5,0.667,1.0,1.0,1.0,0.667,0.667,1.0,0.8,0.643,0.6,0.667,0.833,0.0,0.02,19.919,inf,26,47,7,1,38,6,4,0,2,24,16,1593.5067042,25,20,18,28,20,12,0,1,3,3,0,0,2,1,0,0,0,0,0,2,1,0,0,0,50,25,13,16,16,10,10,6,0,1
179,Johannes Geis,0.768,0.757,0.672,0.607,0.972,1.0,0.981,0.321,0.321,0.333,0.916,0.882,0.592,0.462,0.714,0.058,0.006,27.19,4.0,268,1053,380,1,577,237,76,44,203,262,121,46250.7430561,405,371,517,586,664,393,52,5,183,42,2,57,83,12,11,2,55,78,1,4,12,11,0,0,900,605,386,325,316,236,236,166,46,57
180,Johannes van den Bergh,0.704,0.706,0.607,0.5,0.96,1.0,1.0,0.222,0.222,,0.879,0.763,0.375,0.448,1.0,0.036,0.018,18.681,1.0,35,47,16,1,38,9,2,1,7,29,13,1830.7260855,33,29,29,38,16,6,2,1,1,8,1,1,1,4,3,1,0,0,1,1,2,2,1,1,56,34,11,25,24,8,8,1,0,3
181,John Anthony Brooks,0.858,0.621,0.762,0.442,0.987,1.0,1.0,0.167,0.167,0.25,0.895,0.905,0.797,0.444,0.667,0.001,0.001,27.349,inf,20,524,667,7,134,6,1,3,5,18,8,33120.1242525,190,170,515,569,438,349,1,1,84,0,0,2,4,1,2,0,2,4,0,0,1,2,0,0,688,524,283,235,232,142,142,63,1,2
182,Jonas Hector,0.793,0.711,0.684,0.565,0.962,1.0,0.938,0.358,0.358,0.8,0.876,0.863,0.569,0.683,0.604,0.055,0.004,20.65,inf,485,998,370,21,601,148,53,19,118,420,287,38265.1750969,630,552,706,818,353,201,49,4,42,48,1,23,42,34,28,0,21,29,2,9,27,21,4,5,896,613,298,580,558,141,141,62,13,53
183,Jonas Hofmann,0.798,0.684,0.674,0.562,0.917,1.0,0.765,0.455,0.455,0.0,0.807,0.88,0.621,0.681,0.611,0.095,0.032,17.369,1.0,108,124,20,13,121,22,10,2,17,94,64,4377.0659673,109,88,88,100,29,18,9,3,6,11,3,2,5,5,4,1,1,1,0,3,2,1,2,2,95,64,37,109,100,9,9,4,2,12
184,Jonathan Schmid,0.68,0.621,0.606,0.524,0.864,1.0,0.828,0.321,0.321,0.333,0.839,0.692,0.372,0.588,0.583,0.133,0.0,18.966,2.0,209,164,46,21,238,78,25,20,66,194,114,7946.7874685,186,156,92,133,78,29,24,0,17,23,3,12,18,9,8,2,9,11,2,6,7,5,1,1,180,109,62,132,114,19,19,9,5,24
185,Jonathan Tah,0.796,0.597,0.691,0.476,0.985,1.0,0.969,0.19,0.19,0.333,0.874,0.835,0.69,0.696,0.625,0.005,0.0,24.16,inf,25,636,533,1,183,21,4,1,5,23,16,28846.8327156,270,236,490,587,313,216,4,0,26,1,0,5,21,0,0,0,4,16,0,2,0,0,0,0,740,511,237,206,203,160,160,81,13,4
186,Joo-Ho Park,0.854,0.76,0.753,0.583,0.983,1.0,0.955,0.333,0.333,,0.928,0.89,0.531,0.851,0.857,0.013,0.0,17.257,,86,179,43,1,104,9,3,0,5,67,57,5315.116449300001,152,141,105,118,32,17,2,0,6,3,0,1,4,2,2,0,1,4,0,0,2,2,0,0,154,116,29,120,118,16,16,11,3,2
187,Joshua Kimmich,0.922,0.826,0.881,0.699,0.979,1.0,0.93,0.435,0.435,0.0,0.962,0.942,0.829,0.806,0.588,0.008,0.002,20.31,4.0,126,1034,367,1,304,23,10,0,11,108,87,31013.8908315,576,554,621,659,269,223,7,2,44,7,0,3,13,3,3,0,2,8,1,3,3,3,0,0,849,748,331,336,329,95,95,64,7,9
