,player,pass_accuracy,up_pass_accuracy,pass_accuracy_progressive,up_pass_accuracy_progressive,pass_accuracy_backward,pass_horizontal_backward,up_pass_accuracy_backward,pass_accuracy_into_box,pass_accuracy_into_box,up_pass_accuracy_into_box,pass_accuaracy_short,pass_accuaracy_medium,pass_accuaracy_long,pass_accuracy_within_attacking_third,up_pass_accuracy_within_attacking_third,pass_progressive_lead_to_shot_%,pass_progressive_lead_to_goal_%,pass_mean_distance,pass_accuracy_cuts_last_line_of_defence,passes_from_attacking_third,passes_from_middle_third,passes_from_defending_third,passes_from_the_box,passes_into_attacking_third,passes_into_box,passes_into_box_completed,passes_into_goal_area,passes_into_edge_of_the_box,passes_within_attacking_third,passes_within_attacking_third_completed,passes_total_distance,passes_short_total,passes_short_completed,passes_medium_completed,passes_medium_total,passes_long_total,passes_long_completed,passes_shot_assist,passes_goal_assist,passes_switch,passes_cross,passes_cut_back,passes_vertical_into_edge_of_the_box,passes_vertical_into_the_box,passes_horizontal_into_the_box,passes_horizontal_into_edge_of_the_box,passes_cut_back_into_edge_of_the_box,passes_high_vertical_into_edge_of_the_box,passes_high_vertical_into_the_box,passes_low_vertical_into_edge_of_the_box,passes_low_vertical_into_the_box,passes_high_horizontal_into_the_box,passes_high_horizontal_into_edge_of_the_box,passes_low_horizontal_into_the_box,passes_low_horizontal_into_edge_of_the_box,passes_progressive,passes_progressive_completed,passes_horizontal,passes_backward,passes_backward_completed,passes_long_vertical,passes_long_vertical_from_defending_third,passes_long_vertical_from_mid_third,passes_long_vertical_from_mid_third_into_the_box,key_passes
23,Andreas Hirzel,0.524,0.0,0.524,0.0,,,,,,,1.0,,0.444,,,0.0,0.0,50.121,,0,0,21,0,4,0,0,0,0,0,0,1052.5493187,3,3,0,0,18,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,0,0,0,17,17,0,0,0
24,Andrej Kramarić,0.753,0.682,0.603,0.5,0.907,1.0,0.833,0.444,0.444,0.5,0.793,0.828,0.548,0.688,0.682,0.056,0.016,16.387,3.0,156,165,15,12,169,36,16,4,23,141,97,5505.927113,145,115,106,128,31,17,7,2,7,15,2,6,17,8,8,1,4,6,2,11,4,5,3,2,126,76,50,140,127,9,9,6,3,9
25,André Hahn,0.573,0.413,0.407,0.2,0.77,1.0,0.667,0.235,0.235,0.0,0.701,0.584,0.346,0.466,0.32,0.046,0.0,15.232,,107,144,16,10,113,17,4,2,15,88,41,4066.8471511,127,89,45,77,26,9,5,0,5,12,0,3,6,6,7,0,0,2,2,3,5,4,1,2,108,44,22,113,87,9,9,7,2,5
26,André Ramalho Silva,0.815,0.753,0.717,0.65,0.991,1.0,1.0,0.2,0.2,0.0,0.901,0.896,0.665,0.538,0.25,0.003,0.0,24.524,,14,329,269,1,74,10,2,1,6,13,7,15008.630258599998,172,155,216,241,188,125,1,0,22,1,0,5,9,0,0,0,5,9,0,0,0,0,0,0,385,276,117,107,106,89,89,44,6,1
27,André Schürrle,0.779,0.714,0.632,0.515,0.924,1.0,0.907,0.31,0.31,0.455,0.857,0.815,0.612,0.628,0.489,0.068,0.011,15.972,4.0,316,365,51,30,289,58,18,13,50,253,159,11691.3869893,350,300,212,260,67,41,18,3,12,38,4,6,19,17,21,3,4,8,2,10,13,14,4,5,266,168,98,329,304,16,16,11,4,21
28,Anthony Modeste,0.605,0.488,0.417,0.365,0.86,1.0,0.774,0.261,0.261,0.333,0.657,0.544,0.564,0.455,0.406,0.047,0.009,16.042,4.0,193,410,15,22,293,46,12,6,32,176,80,9914.0434297,265,174,131,241,55,31,15,3,5,8,2,23,40,3,6,1,13,21,4,9,0,1,2,3,321,134,80,186,160,24,24,17,5,18
29,Anthony Ujah,0.605,0.462,0.471,0.401,0.854,1.0,0.622,0.273,0.273,0.333,0.625,0.631,0.417,0.509,0.333,0.058,0.0,14.247,1.0,242,329,22,45,311,33,9,8,34,226,115,8448.66332076,307,192,128,203,24,10,18,0,3,14,4,11,17,9,11,2,7,13,1,1,3,6,4,3,312,147,72,164,140,11,11,8,1,18
30,Arianit Ferati,0.783,0.778,0.735,0.75,1.0,1.0,1.0,0.571,0.571,,0.87,0.688,0.6,0.765,1.0,0.088,0.029,16.676,inf,18,21,7,0,27,7,4,0,2,17,13,767.0924846,23,20,11,16,5,3,3,1,0,2,0,0,4,1,1,0,0,1,0,1,1,1,0,0,34,25,1,10,10,4,4,3,0,4
31,Arjen Robben,0.798,0.724,0.687,0.553,0.945,1.0,0.881,0.543,0.543,0.5,0.869,0.836,0.643,0.743,0.657,0.098,0.004,17.138,2.0,381,221,18,40,370,70,38,11,46,334,248,10625.501755899999,290,252,189,226,70,45,24,1,16,26,1,8,30,11,18,1,4,6,2,21,6,9,2,8,246,169,85,255,241,9,9,6,1,25
32,Aron Jóhannsson,0.67,0.556,0.4,0.375,0.872,1.0,0.625,0.353,0.353,0.0,0.69,0.741,0.609,0.511,0.571,0.2,0.0,19.25,inf,51,44,5,5,53,17,6,5,17,47,24,1925.0253671,42,29,20,27,23,14,7,0,3,6,0,5,4,1,1,0,5,4,0,0,0,0,1,1,35,14,19,39,34,5,5,2,1,7
