player,ball_recovery_total,ball_recovery_successful,ball_recovery_offensive_total,ball_recovery_offensive_successful,ball_recovery_failed,pressure_on_opponent,pressure_on_opponent_defending_third,pressure_on_opponent_middle_third,pressure_on_opponent_attacking_third,counterpressing_total,counterpressing_opponent_defending_third,counterpressing_opponent_middle_third,counterpressing_attacking_third,shield_total,block_total,block_offensive,block_ball_deflection,block_counterpress,block_during_counterpress,block_shot_on_target,clearance_total,clearance_with_head,interception,tackling,tackling_won,tackling_in_defending_third,tackling_in_middle_third,tackling_in_attacking_third,fouls_total,fouls_in_defending_third,fouls_in_middle_third,fouls_in_attacking_third,fouls_offensive,fouls_lead_to_penalty,fouls_wins_a_penalty,fouls_yellow_card,fouls_second_yellow_card,fouls_red_card,bad_behaviour_total,bad_behaviour_yellow_card,bad_behaviour_second_yellow_card,bad_behaviour_red_card,total_yellow,total_red,ball_recovery_successful_%,pressure_on_opponent_defending_third_%,pressure_on_opponent_middle_third_%,pressure_on_opponent_attacking_third_%,counterpressing_opponent_defending_third_%,counterpressing_opponent_middle_third_%,counterpressing_opponent_attacking_third_%,tackling_success_%,tackling_in_defending_third_%,tackling_in_middle_third_%,tackling_in_attacking_third_%,fouls_in_defending_third_%,fouls_in_middle_third_%,fouls_in_attacking_third_%
Nico Rinderknecht,0,0,0,0,0,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,1.0,,,,,,,
Nico Schulz,2,2,0,0,0,14,7,3,4,3,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.5,0.21428571428571427,0.2857142857142857,0.0,0.0,1.0,,,,,1.0,0.0,0.0
Nicolai Müller,120,108,0,0,12,647,166,349,132,186,15,101,70,0,72,5,1,1,72,1,18,5,0,58,38,19,33,6,62,8,33,21,0,0,0,5,0,0,1,1,0,0,6,0,0.9,0.25656877897990726,0.5394126738794436,0.20401854714064915,0.08064516129032258,0.543010752688172,0.3763440860215054,0.6551724137931034,0.3275862068965517,0.5689655172413793,0.10344827586206896,0.12903225806451613,0.532258064516129,0.3387096774193548
Niklas Stark,57,54,1,1,3,202,97,92,13,70,18,45,7,4,28,1,1,1,28,0,74,40,0,14,12,8,4,2,26,5,20,1,0,0,0,3,1,0,0,0,0,0,3,0,0.9473684210526315,0.4801980198019802,0.45544554455445546,0.06435643564356436,0.2571428571428571,0.6428571428571429,0.1,0.8571428571428571,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.19230769230769232,0.7692307692307693,0.038461538461538464
Niklas Süle,113,109,0,0,4,252,192,54,6,65,31,30,4,3,78,0,5,5,78,1,201,100,0,51,20,46,4,1,20,7,11,2,0,1,0,4,0,0,0,0,0,0,4,0,0.9646017699115044,0.7619047619047619,0.21428571428571427,0.023809523809523808,0.47692307692307695,0.46153846153846156,0.06153846153846154,0.39215686274509803,0.9019607843137255,0.0784313725490196,0.0196078431372549,0.35,0.55,0.1
Niko Bungert,39,37,0,0,2,170,109,54,7,52,18,24,10,0,33,2,1,1,33,0,86,45,0,25,14,20,4,1,20,4,13,3,0,1,0,2,0,0,0,0,0,0,2,0,0.9487179487179487,0.6411764705882353,0.3176470588235294,0.041176470588235294,0.34615384615384615,0.46153846153846156,0.19230769230769232,0.56,0.8,0.16,0.04,0.2,0.65,0.15
Noah-Joel Sarenren-Bazee,25,21,1,1,4,57,15,17,25,19,0,5,14,0,5,0,0,0,5,0,0,0,0,4,0,2,1,1,14,1,7,6,2,0,0,1,0,0,0,0,0,0,1,0,0.84,0.2631578947368421,0.2982456140350877,0.43859649122807015,0.0,0.2631578947368421,0.7368421052631579,0.0,0.5,0.25,0.25,0.07142857142857142,0.5,0.42857142857142855
Nuri Şahin,22,21,0,0,1,100,30,60,10,37,3,26,8,0,6,0,0,0,6,0,7,4,0,18,10,7,11,0,8,0,6,2,0,0,0,1,0,0,0,0,0,0,1,0,0.9545454545454546,0.3,0.6,0.1,0.08108108108108109,0.7027027027027027,0.21621621621621623,0.5555555555555556,0.3888888888888889,0.6111111111111112,0.0,0.0,0.75,0.25
Odisseas Vlachodimos,7,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8571428571428571,,,,,,,,,,,,,
Oliver Baumann,205,204,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0.9951219512195122,1.0,0.0,0.0,,,,,,,,,,
Oliver Hüsing,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Oliver Sorg,67,67,0,0,0,235,133,80,22,73,18,35,20,6,30,0,1,1,30,1,27,10,0,41,16,30,9,2,18,6,9,3,1,0,0,4,0,0,0,0,0,0,4,0,1.0,0.5659574468085107,0.3404255319148936,0.09361702127659574,0.2465753424657534,0.4794520547945205,0.273972602739726,0.3902439024390244,0.7317073170731707,0.21951219512195122,0.04878048780487805,0.3333333333333333,0.5,0.16666666666666666
Oscar Wendt,126,116,0,0,10,328,126,137,65,146,20,73,53,1,67,0,1,1,67,0,78,37,0,60,25,27,29,4,21,9,7,5,0,0,0,5,0,0,0,0,0,0,5,0,0.9206349206349206,0.38414634146341464,0.4176829268292683,0.19817073170731708,0.136986301369863,0.5,0.363013698630137,0.4166666666666667,0.45,0.48333333333333334,0.06666666666666667,0.42857142857142855,0.3333333333333333,0.23809523809523808
Pablo Ezequiel De Blasis,75,68,0,0,7,442,133,204,105,137,18,63,56,2,37,1,1,1,37,0,15,6,0,55,32,30,13,12,35,9,17,9,0,2,0,1,0,0,0,0,0,0,1,0,0.9066666666666666,0.3009049773755656,0.46153846153846156,0.23755656108597284,0.13138686131386862,0.45985401459854014,0.40875912408759124,0.5818181818181818,0.5454545454545454,0.23636363636363636,0.21818181818181817,0.2571428571428571,0.4857142857142857,0.2571428571428571
