player,touches_total,touches_in_defending_penalty,touches_in_defending_third,touches_in_middle_third,touches_in_attacking_third,touches_in_attacking_penalty,dribbling_total,dribbling_completed,dribbling_not_completed,dribbling_overrun,dribbling_through_legs,dribbling_push_and_run,carries_total,carry_into_attacking_third,carry_into_penalty_area,carry_into_edge_of_the_box,carry_distance,progressive_carry_total,progressive_carry_distance,miscontrol_total,miscontrol_in_aerial_duel,dispossessed_total,dispossessed_in_defending_penalty_area,dispossessed_in_defending_third,dispossessed_in_middle_third,dispossessed_in_attacking_third,dispossessed_in_penalty_area,balls_received,balls_received_successful,error_lead_to_goal,up_touches_total,up_touches_in_defending_penalty,up_touches_in_defending_third,up_touches_in_middle_third,up_touches_in_attacking_third,up_touches_in_attacking_penalty,up_dribbling_total,up_dribbling_completed,up_dribbling_not_completed,up_dribbling_overrun,up_dribbling_through_legs,up_dribbling_push_and_run,up_carries_total,up_carry_into_attacking_third,up_carry_into_penalty_area,up_carry_into_edge_of_the_box,up_carry_distance,up_progressive_carry_total,up_progressive_carry_distance,up_miscontrol_total,up_miscontrol_in_aerial_duel,up_dispossessed_total,up_dispossessed_in_defending_penalty_area,up_dispossessed_in_defending_third,up_dispossessed_in_middle_third,up_dispossessed_in_attacking_third,up_dispossessed_in_penalty_area,up_balls_received,up_balls_received_successful,up_error_lead_to_goal,touches_in_defending_penalty_%,touches_in_defending_third_%,touches_in_middle_third_%,touches_in_attacking_third_%,touches_in_attacking_penalty_%,ball_reception_%,dribblings_successful_%,distance_per_carry,carries_into_attacking_third_%,carries_into_penalty_area_%,carries_into_edge_of_the_box_%,distance_per_progressive_carry,dispossessed_per_carry_%
Leandro Putaro,20,0,0,9,11,3,3,1,2,1,2,0,8,0,0,0,48.11685808873508,4,33.44907271266792,1,0,0,0,0,0,0,0,3,3,0,20,0,0,9,11,3,3,1,2,1,2,0,8,0,0,0,48.11685808873508,4,33.44907271266792,1,0,0,0,0,0,0,0,3,3,0,0.0,0.0,0.45,0.55,0.15,1.0,0.3333333333333333,6.014607261091885,0.0,0.0,0.0,8.36226817816698,0.0
Leon Aderemi Balogun,544,89,340,159,45,18,14,8,6,1,1,0,135,4,0,0,1177.3707715983617,76,808.57711814536,4,1,13,1,6,5,2,0,23,22,0,544,89,340,159,45,18,14,8,6,1,1,0,135,4,0,0,1177.3707715983617,76,808.57711814536,4,1,13,1,6,5,2,0,23,22,0,0.1636029411764706,0.625,0.2922794117647059,0.08272058823529412,0.03308823529411765,0.9565217391304348,0.5714285714285714,8.72126497480268,0.02962962962962963,0.0,0.0,10.639172607175789,0.0962962962962963
Leon Andreasen,376,20,95,200,81,13,6,3,3,1,2,0,104,3,1,0,726.8145598313006,59,500.7236318936868,4,1,12,1,3,5,4,0,37,35,0,376,20,95,200,81,13,6,3,3,1,2,0,104,3,1,0,726.8145598313006,59,500.7236318936868,4,1,12,1,3,5,4,0,37,35,0,0.05319148936170213,0.2526595744680851,0.5319148936170213,0.2154255319148936,0.034574468085106384,0.9459459459459459,0.5,6.988601536839429,0.028846153846153848,0.009615384615384616,0.0,8.486841218537064,0.11538461538461539
Leon Goretzka,1050,48,228,623,199,27,48,29,19,3,4,1,360,28,2,0,2602.6766705727696,210,1885.7949445324266,5,1,31,0,5,17,9,0,122,118,0,1050,48,228,623,199,27,48,29,19,3,4,1,360,28,2,0,2602.6766705727696,210,1885.7949445324266,5,1,31,0,5,17,9,0,122,118,0,0.045714285714285714,0.21714285714285714,0.5933333333333334,0.1895238095238095,0.025714285714285714,0.9672131147540983,0.6041666666666666,7.229657418257693,0.07777777777777778,0.005555555555555556,0.0,8.979975926344888,0.08611111111111111
Leon Guwara,46,4,13,19,14,0,4,2,2,0,0,0,16,2,0,0,131.6310671973623,10,88.73440478362053,0,0,0,0,0,0,0,0,1,1,0,46,4,13,19,14,0,4,2,2,0,0,0,16,2,0,0,131.6310671973623,10,88.73440478362053,0,0,0,0,0,0,0,0,1,1,0,0.08695652173913043,0.2826086956521739,0.41304347826086957,0.30434782608695654,0.0,1.0,0.5,8.226941699835145,0.125,0.0,0.0,8.873440478362053,0.0
Leonardo Bittencourt,1086,7,158,510,418,51,60,30,30,5,8,0,395,38,11,1,3201.5401083958163,250,2521.591021532521,13,0,43,0,2,20,21,6,130,128,0,1086,7,158,510,418,51,60,30,30,5,8,0,395,38,11,1,3201.5401083958163,250,2521.591021532521,13,0,43,0,2,20,21,6,130,128,0,0.006445672191528545,0.14548802946593,0.4696132596685083,0.3848987108655617,0.04696132596685083,0.9846153846153847,0.5,8.105164831381813,0.09620253164556962,0.027848101265822784,0.002531645569620253,10.086364086130084,0.10886075949367088
Leroy Sané,1411,6,177,596,638,115,161,83,78,6,27,0,584,44,31,11,4921.465327411076,387,3880.6859286875365,40,4,81,0,7,27,47,9,166,161,0,1411,6,177,596,638,115,161,83,78,6,27,0,584,44,31,11,4921.465327411076,387,3880.6859286875365,40,4,81,0,7,27,47,9,166,161,0,0.004252303330970942,0.1254429482636428,0.4223954642097803,0.45216158752657687,0.0815024805102764,0.9698795180722891,0.515527950310559,8.427166656525815,0.07534246575342465,0.053082191780821915,0.018835616438356163,10.027612218830845,0.1386986301369863
Levin Mete Öztunali,732,6,82,284,366,53,73,36,37,6,7,0,294,39,25,2,3183.0943893028684,200,2779.722292068858,17,3,47,0,4,18,25,4,73,65,0,732,6,82,284,366,53,73,36,37,6,7,0,294,39,25,2,3183.0943893028684,200,2779.722292068858,17,3,47,0,4,18,25,4,73,65,0,0.00819672131147541,0.11202185792349727,0.3879781420765027,0.5,0.07240437158469945,0.8904109589041096,0.4931506849315068,10.826851664295472,0.1326530612244898,0.08503401360544217,0.006802721088435374,13.898611460344291,0.1598639455782313
Lewis Harry Holtby,1498,55,362,841,295,16,71,40,31,6,9,1,545,21,2,0,3311.3634880121094,308,2360.4068569299634,6,1,50,0,10,24,16,0,147,138,0,1498,55,362,841,295,16,71,40,31,6,9,1,545,21,2,0,3311.3634880121094,308,2360.4068569299634,6,1,50,0,10,24,16,0,147,138,0,0.036715620827770364,0.2416555407209613,0.5614152202937249,0.19692923898531375,0.010680907877169559,0.9387755102040817,0.5633802816901409,6.0758963082791,0.03853211009174312,0.003669724770642202,0.0,7.663658626395985,0.09174311926605505
Loris Karius,277,231,275,2,0,0,1,1,0,0,0,0,121,0,0,0,584.7154911855115,88,465.53228008663,0,0,0,0,0,0,0,0,52,52,0,277,231,275,2,0,0,1,1,0,0,0,0,121,0,0,0,584.7154911855115,88,465.53228008663,0,0,0,0,0,0,0,0,52,52,0,0.8339350180505415,0.9927797833935018,0.007220216606498195,0.0,0.0,1.0,1.0,4.832359431285219,0.0,0.0,0.0,5.2901395464389775,0.0
Luc Castaignos,391,1,9,179,203,38,15,11,4,2,2,0,117,7,9,1,727.4821786529023,65,546.7045501798179,6,0,24,0,2,8,14,0,76,72,0,391,1,9,179,203,38,15,11,4,2,2,0,117,7,9,1,727.4821786529023,65,546.7045501798179,6,0,24,0,2,8,14,0,76,72,0,0.0025575447570332483,0.023017902813299233,0.4578005115089514,0.5191815856777494,0.09718670076726342,0.9473684210526315,0.7333333333333333,6.217796398742755,0.05982905982905983,0.07692307692307693,0.008547008547008548,8.410839233535661,0.20512820512820512
Luca Caldirola,569,121,347,150,72,20,2,0,2,0,1,0,77,2,0,0,479.0932881635754,33,274.43111962479884,1,0,4,0,0,1,3,0,17,16,0,569,121,347,150,72,20,2,0,2,0,1,0,77,2,0,0,479.0932881635754,33,274.43111962479884,1,0,4,0,0,1,3,0,17,16,0,0.2126537785588752,0.6098418277680141,0.26362038664323373,0.1265377855887522,0.0351493848857645,0.9411764705882353,0.0,6.221990755371109,0.025974025974025976,0.0,0.0,8.316094534084813,0.05194805194805195
Luca-Milan Zander,24,4,9,14,1,0,0,0,0,0,0,0,6,1,0,0,37.7314132248591,2,21.012443517552498,0,0,0,0,0,0,0,0,3,2,0,24,4,9,14,1,0,0,0,0,0,0,0,6,1,0,0,37.7314132248591,2,21.012443517552498,0,0,0,0,0,0,0,0,3,2,0,0.16666666666666666,0.375,0.5833333333333334,0.041666666666666664,0.0,0.6666666666666666,,6.28856887080985,0.16666666666666666,0.0,0.0,10.506221758776249,0.0
Luiz Gustavo Dias,831,23,242,479,110,11,13,9,4,1,2,1,332,10,2,0,2116.1560511784837,186,1488.2648955144073,10,1,32,1,6,21,5,0,82,79,0,831,23,242,479,110,11,13,9,4,1,2,1,332,10,2,0,2116.1560511784837,186,1488.2648955144073,10,1,32,1,6,21,5,0,82,79,0,0.027677496991576414,0.29121540312876054,0.5764139590854392,0.13237063778580024,0.013237063778580024,0.9634146341463414,0.6923076923076923,6.373964009573746,0.030120481927710843,0.006024096385542169,0.0,8.001424169432298,0.0963855421686747
Lukas Fröde,55,1,12,31,12,1,0,0,0,0,0,0,10,0,0,0,59.766669533132074,7,26.038357868017762,0,0,2,0,1,0,1,0,5,5,0,55,1,12,31,12,1,0,0,0,0,0,0,10,0,0,0,59.766669533132074,7,26.038357868017762,0,0,2,0,1,0,1,0,5,5,0,0.01818181818181818,0.21818181818181817,0.5636363636363636,0.21818181818181817,0.01818181818181818,1.0,,5.976666953313208,0.0,0.0,0.0,3.7197654097168233,0.2
Lukas Hinterseer,898,15,62,340,496,77,36,8,28,2,7,0,278,14,10,2,1432.4214698549254,180,1091.1732924143228,20,5,41,0,1,12,28,3,117,106,0,898,15,62,340,496,77,36,8,28,2,7,0,278,14,10,2,1432.4214698549254,180,1091.1732924143228,20,5,41,0,1,12,28,3,117,106,0,0.01670378619153675,0.06904231625835189,0.37861915367483295,0.5523385300668151,0.08574610244988864,0.905982905982906,0.2222222222222222,5.152595215305487,0.050359712230215826,0.03597122302158273,0.007194244604316547,6.062073846746237,0.1474820143884892
Lukas Klünter,9,1,3,2,4,1,0,0,0,0,0,0,2,0,0,0,33.91989480586677,1,30.41989480586677,0,0,0,0,0,0,0,0,1,1,0,9,1,3,2,4,1,0,0,0,0,0,0,2,0,0,0,33.91989480586677,1,30.41989480586677,0,0,0,0,0,0,0,0,1,1,0,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.1111111111111111,1.0,,16.959947402933384,0.0,0.0,0.0,30.41989480586677,0.0
Lukas Rupp,1030,24,196,482,352,58,48,30,18,3,3,0,396,18,6,7,2827.2720141491463,257,2105.1642073294106,9,0,51,0,4,19,28,5,100,96,0,1030,24,196,482,352,58,48,30,18,3,3,0,396,18,6,7,2827.2720141491463,257,2105.1642073294106,9,0,51,0,4,19,28,5,100,96,0,0.02330097087378641,0.19029126213592232,0.4679611650485437,0.341747572815534,0.05631067961165048,0.96,0.625,7.139575793305925,0.045454545454545456,0.015151515151515152,0.017676767676767676,8.191300417624166,0.12878787878787878
Lukáš Hrádecký,209,160,208,1,0,0,0,0,0,0,0,0,102,0,0,0,573.9562712514777,67,384.9535224994289,0,0,0,0,0,0,0,0,27,27,0,209,160,208,1,0,0,0,0,0,0,0,0,102,0,0,0,573.9562712514777,67,384.9535224994289,0,0,0,0,0,0,0,0,27,27,0,0.7655502392344498,0.9952153110047847,0.004784688995215311,0.0,0.0,1.0,,5.62702226717135,0.0,0.0,0.0,5.7455749626780435,0.0
László Kleinheisler,93,0,18,57,18,1,10,5,5,2,1,0,41,1,0,0,253.50339272698582,26,169.48221351771807,0,0,3,0,0,2,1,0,7,7,0,93,0,18,57,18,1,10,5,5,2,1,0,41,1,0,0,253.50339272698582,26,169.48221351771807,0,0,3,0,0,2,1,0,7,7,0,0.0,0.1935483870967742,0.6129032258064516,0.1935483870967742,0.010752688172043012,1.0,0.5,6.183009578706971,0.024390243902439025,0.0,0.0,6.5185466737583875,0.07317073170731707
Mahmoud Dahoud,1072,24,186,651,235,18,36,28,8,1,0,1,434,15,4,4,2257.4699060036883,260,1526.005680794643,10,0,49,0,5,25,19,2,100,97,0,1072,24,186,651,235,18,36,28,8,1,0,1,434,15,4,4,2257.4699060036883,260,1526.005680794643,10,0,49,0,5,25,19,2,100,97,0,0.022388059701492536,0.17350746268656717,0.6072761194029851,0.21921641791044777,0.016791044776119403,0.97,0.7777777777777778,5.20154356222048,0.03456221198156682,0.009216589861751152,0.009216589861751152,5.869252618440934,0.11290322580645161
Makoto Hasebe,999,62,273,547,179,13,13,11,2,0,0,0,362,14,2,0,2174.924432490105,213,1481.1042507114562,7,1,32,0,7,15,10,1,67,63,0,999,62,273,547,179,13,13,11,2,0,0,0,362,14,2,0,2174.924432490105,213,1481.1042507114562,7,1,32,0,7,15,10,1,67,63,0,0.062062062062062065,0.2732732732732733,0.5475475475475475,0.17917917917917917,0.013013013013013013,0.9402985074626866,0.8461538461538461,6.008078542790345,0.03867403314917127,0.0055248618784530384,0.0,6.953541083152376,0.08839779005524862
Manuel Neuer,389,333,387,2,0,0,2,2,0,0,0,0,175,0,0,0,908.0922555785587,116,639.6137807279227,0,0,0,0,0,0,0,0,53,52,0,389,333,387,2,0,0,2,2,0,0,0,0,175,0,0,0,908.0922555785587,116,639.6137807279227,0,0,0,0,0,0,0,0,53,52,0,0.8560411311053985,0.9948586118251928,0.005141388174807198,0.0,0.0,0.9811320754716981,1.0,5.18909860330605,0.0,0.0,0.0,5.51391190282692,0.0
Manuel Schmiedebach,797,21,136,482,179,7,22,16,6,2,3,0,308,7,0,0,1714.58023461666,166,1116.5290085027927,6,0,24,0,2,10,12,0,82,78,0,797,21,136,482,179,7,22,16,6,2,3,0,308,7,0,0,1714.58023461666,166,1116.5290085027927,6,0,24,0,2,10,12,0,82,78,0,0.026348808030112924,0.17063989962358847,0.6047678795483061,0.2245922208281054,0.00878293601003764,0.9512195121951219,0.7272727272727273,5.566818943560584,0.022727272727272728,0.0,0.0,6.726078364474655,0.07792207792207792
Marc Stendera,1165,15,189,625,351,32,59,42,17,3,4,0,443,19,7,3,2500.1042251915,315,2011.9387615292096,19,1,61,0,3,28,30,3,129,126,0,1165,15,189,625,351,32,59,42,17,3,4,0,443,19,7,3,2500.1042251915,315,2011.9387615292096,19,1,61,0,3,28,30,3,129,126,0,0.012875536480686695,0.16223175965665235,0.5364806866952789,0.3012875536480687,0.027467811158798282,0.9767441860465116,0.711864406779661,5.643576129100452,0.04288939051918736,0.01580135440180587,0.006772009029345372,6.387107179457808,0.13769751693002258
Marcel  Hilßner,7,0,1,3,3,0,0,0,0,0,0,0,1,1,0,0,6.280127387243035,1,6.280127387243035,0,0,0,0,0,0,0,0,2,1,0,7,0,1,3,3,0,0,0,0,0,0,0,1,1,0,0,6.280127387243035,1,6.280127387243035,0,0,0,0,0,0,0,0,2,1,0,0.0,0.14285714285714285,0.42857142857142855,0.42857142857142855,0.0,0.5,,6.280127387243035,1.0,0.0,0.0,6.280127387243035,0.0
Marcel Hartel,68,1,9,28,31,5,7,3,4,0,0,0,30,3,1,0,273.7412323025257,19,198.62354161514537,0,0,2,0,0,2,0,0,4,4,0,68,1,9,28,31,5,7,3,4,0,0,0,30,3,1,0,273.7412323025257,19,198.62354161514537,0,0,2,0,0,2,0,0,4,4,0,0.014705882352941176,0.1323529411764706,0.4117647058823529,0.45588235294117646,0.07352941176470588,1.0,0.42857142857142855,9.124707743417524,0.1,0.03333333333333333,0.0,10.45387061132344,0.06666666666666667
Marcel Heller,1061,24,197,269,595,89,57,30,27,2,0,0,370,40,26,4,3745.3597540836595,247,3114.7272975468777,22,1,63,0,3,16,44,4,110,104,0,1061,24,197,269,595,89,57,30,27,2,0,0,370,40,26,4,3745.3597540836595,247,3114.7272975468777,22,1,63,0,3,16,44,4,110,104,0,0.022620169651272386,0.18567389255419417,0.2535344015080113,0.5607917059377945,0.08388312912346843,0.9454545454545454,0.5263157894736842,10.122593929955837,0.10810810810810811,0.07027027027027027,0.010810810810810811,12.610231973873999,0.17027027027027028
Marcel Risse,1050,40,304,441,305,27,82,48,34,6,10,0,434,36,8,1,3438.37905633511,281,2722.683103236308,8,1,33,0,5,13,15,1,72,72,0,1050,40,304,441,305,27,82,48,34,6,10,0,434,36,8,1,3438.37905633511,281,2722.683103236308,8,1,33,0,5,13,15,1,72,72,0,0.0380952380952381,0.2895238095238095,0.42,0.2904761904761905,0.025714285714285714,1.0,0.5853658536585366,7.922532387868917,0.08294930875576037,0.018433179723502304,0.002304147465437788,9.689263712584726,0.07603686635944701
Marcel Schmelzer,737,49,190,318,229,29,22,10,12,1,2,0,252,11,7,0,1429.4368159106023,150,1002.6055118674323,3,0,11,1,2,2,7,2,50,45,0,737,49,190,318,229,29,22,10,12,1,2,0,252,11,7,0,1429.4368159106023,150,1002.6055118674323,3,0,11,1,2,2,7,2,50,45,0,0.06648575305291723,0.25780189959294436,0.4314789687924016,0.310719131614654,0.03934871099050204,0.9,0.45454545454545453,5.6723683171055646,0.04365079365079365,0.027777777777777776,0.0,6.6840367457828815,0.04365079365079365
Marcel Schäfer,430,23,142,169,119,10,14,5,9,0,0,0,154,7,5,0,944.865579649223,84,600.1766075737137,4,1,9,0,3,3,3,1,39,37,0,430,23,142,169,119,10,14,5,9,0,0,0,154,7,5,0,944.865579649223,84,600.1766075737137,4,1,9,0,3,3,3,1,39,37,0,0.053488372093023255,0.3302325581395349,0.3930232558139535,0.27674418604651163,0.023255813953488372,0.9487179487179487,0.35714285714285715,6.135490776943007,0.045454545454545456,0.032467532467532464,0.0,7.144959613972782,0.05844155844155844
Marcelo Alfonso Díaz Rojas,197,10,45,128,24,0,3,1,2,1,0,0,85,0,0,0,404.25347225811146,37,215.14120563338025,0,0,1,0,0,1,0,0,14,14,0,197,10,45,128,24,0,3,1,2,1,0,0,85,0,0,0,404.25347225811146,37,215.14120563338025,0,0,1,0,0,1,0,0,14,14,0,0.050761421319796954,0.22842639593908629,0.649746192893401,0.1218274111675127,0.0,1.0,0.3333333333333333,4.755923203036605,0.0,0.0,0.0,5.8146271792805475,0.011764705882352941
Marcelo Antônio Guedes Filho,492,120,296,160,36,28,4,3,1,0,1,0,117,1,0,0,977.1112716318654,72,642.3798596890695,0,0,3,0,1,1,1,0,8,8,1,492,120,296,160,36,28,4,3,1,0,1,0,117,1,0,0,977.1112716318654,72,642.3798596890695,0,0,3,0,1,1,1,0,8,8,1,0.24390243902439024,0.6016260162601627,0.3252032520325203,0.07317073170731707,0.056910569105691054,1.0,0.75,8.351378390015944,0.008547008547008548,0.0,0.0,8.92194249568152,0.02564102564102564
Marco Höger,112,4,23,51,38,2,0,0,0,0,0,0,38,0,0,0,287.2216020073011,23,247.8105709550897,0,0,0,0,0,0,0,0,12,11,0,112,4,23,51,38,2,0,0,0,0,0,0,38,0,0,0,287.2216020073011,23,247.8105709550897,0,0,0,0,0,0,0,0,12,11,0,0.03571428571428571,0.20535714285714285,0.45535714285714285,0.3392857142857143,0.017857142857142856,0.9166666666666666,,7.55846321071845,0.0,0.0,0.0,10.774372650221292,0.0
Marco Jhonfai Fabián De La Mora,440,5,28,230,182,27,21,13,8,0,5,0,165,9,1,0,923.2916380694872,90,646.3105735187221,8,0,12,0,1,8,3,0,57,51,0,440,5,28,230,182,27,21,13,8,0,5,0,165,9,1,0,923.2916380694872,90,646.3105735187221,8,0,12,0,1,8,3,0,57,51,0,0.011363636363636364,0.06363636363636363,0.5227272727272727,0.41363636363636364,0.06136363636363636,0.8947368421052632,0.6190476190476191,5.595706897390832,0.05454545454545454,0.006060606060606061,0.0,7.181228594652468,0.07272727272727272
Marco Reus,884,3,57,369,458,80,65,31,34,5,13,1,353,16,16,5,2337.962972541656,202,1594.3274526523446,11,1,33,0,2,12,19,4,137,135,0,884,3,57,369,458,80,65,31,34,5,13,1,353,16,16,5,2337.962972541656,202,1594.3274526523446,11,1,33,0,2,12,19,4,137,135,0,0.003393665158371041,0.06447963800904978,0.417420814479638,0.5180995475113123,0.09049773755656108,0.9854014598540146,0.47692307692307695,6.623124568106674,0.0453257790368272,0.0453257790368272,0.014164305949008499,7.892710161645271,0.09348441926345609
Marco Russ,685,98,263,312,110,37,16,9,7,2,0,0,161,10,2,0,1130.6819457989798,112,919.281204816083,5,0,11,1,2,4,5,0,37,37,0,685,98,263,312,110,37,16,9,7,2,0,0,161,10,2,0,1130.6819457989798,112,919.281204816083,5,0,11,1,2,4,5,0,37,37,0,0.14306569343065692,0.38394160583941606,0.4554744525547445,0.16058394160583941,0.05401459854014599,1.0,0.5625,7.022869228565091,0.062111801242236024,0.012422360248447204,0.0,8.207867900143599,0.06832298136645963
Marco Sailer,145,4,18,55,72,11,4,1,3,0,0,0,35,0,0,0,164.3233953190809,17,82.99181661081943,3,3,6,0,0,3,3,0,16,13,0,145,4,18,55,72,11,4,1,3,0,0,0,35,0,0,0,164.3233953190809,17,82.99181661081943,3,3,6,0,0,3,3,0,16,13,0,0.027586206896551724,0.12413793103448276,0.3793103448275862,0.496551724137931,0.07586206896551724,0.8125,0.25,4.69495415197374,0.0,0.0,0.0,4.881871565342319,0.17142857142857143
Mario Götze,543,6,28,252,263,47,27,18,9,1,4,0,227,22,9,6,1475.4280173368604,152,1179.865808349863,6,0,29,1,1,10,18,3,71,68,0,543,6,28,252,263,47,27,18,9,1,4,0,227,22,9,6,1475.4280173368604,152,1179.865808349863,6,0,29,1,1,10,18,3,71,68,0,0.011049723756906077,0.05156537753222836,0.46408839779005523,0.4843462246777164,0.0865561694290976,0.9577464788732394,0.6666666666666666,6.499682895757094,0.09691629955947137,0.039647577092511016,0.02643171806167401,7.762275054933309,0.1277533039647577
Mario Vrančić,370,11,55,152,163,24,11,8,3,1,1,0,119,6,6,2,684.3505807254609,63,508.04131949440654,3,0,10,0,0,5,5,0,45,41,0,370,11,55,152,163,24,11,8,3,1,1,0,119,6,6,2,684.3505807254609,63,508.04131949440654,3,0,10,0,0,5,5,0,45,41,0,0.02972972972972973,0.14864864864864866,0.41081081081081083,0.44054054054054054,0.06486486486486487,0.9111111111111111,0.7272727272727273,5.750845216180344,0.05042016806722689,0.05042016806722689,0.01680672268907563,8.064147928482644,0.08403361344537816
Marius Wolf,43,7,12,11,20,1,1,0,1,1,0,0,11,0,0,0,74.25875548504142,8,64.2786344815949,4,0,3,0,0,0,3,0,5,5,0,43,7,12,11,20,1,1,0,1,1,0,0,11,0,0,0,74.25875548504142,8,64.2786344815949,4,0,3,0,0,0,3,0,5,5,0,0.16279069767441862,0.27906976744186046,0.2558139534883721,0.46511627906976744,0.023255813953488372,1.0,0.0,6.750795953185584,0.0,0.0,0.0,8.034829310199363,0.2727272727272727
Mark Uth,644,8,77,323,244,57,38,16,22,1,4,0,231,10,9,2,1454.0374689088426,136,1008.4487492357994,15,0,28,0,2,10,16,1,107,103,0,644,8,77,323,244,57,38,16,22,1,4,0,231,10,9,2,1454.0374689088426,136,1008.4487492357994,15,0,28,0,2,10,16,1,107,103,0,0.012422360248447204,0.11956521739130435,0.5015527950310559,0.37888198757763975,0.08850931677018634,0.9626168224299065,0.42105263157894735,6.294534497440877,0.04329004329004329,0.03896103896103896,0.008658008658008658,7.415064332616172,0.12121212121212122
Markus Feulner,407,26,131,150,126,20,21,11,10,0,1,2,137,8,3,1,944.3290002898755,86,730.7012707674158,1,0,23,1,4,5,14,3,31,29,0,407,26,131,150,126,20,21,11,10,0,1,2,137,8,3,1,944.3290002898755,86,730.7012707674158,1,0,23,1,4,5,14,3,31,29,0,0.06388206388206388,0.32186732186732187,0.36855036855036855,0.3095823095823096,0.04914004914004914,0.9354838709677419,0.5238095238095238,6.892912410875003,0.058394160583941604,0.021897810218978103,0.0072992700729927005,8.496526404272277,0.1678832116788321
Markus Suttner,377,42,152,130,95,0,14,10,4,1,2,0,104,5,0,0,547.8686473133957,58,318.8618572324422,2,0,4,0,0,0,4,0,22,22,0,377,42,152,130,95,0,14,10,4,1,2,0,104,5,0,0,547.8686473133957,58,318.8618572324422,2,0,4,0,0,0,4,0,22,22,0,0.11140583554376658,0.40318302387267907,0.3448275862068966,0.2519893899204244,0.0,1.0,0.7142857142857143,5.267967762628805,0.04807692307692308,0.0,0.0,5.497618228145556,0.038461538461538464
Marlon Frey,101,3,17,57,27,3,5,4,1,0,0,0,33,3,2,0,268.43992144400096,17,202.26427503359017,1,0,2,0,0,0,2,0,6,5,0,101,3,17,57,27,3,5,4,1,0,0,0,33,3,2,0,268.43992144400096,17,202.26427503359017,1,0,2,0,0,0,2,0,6,5,0,0.0297029702970297,0.16831683168316833,0.5643564356435643,0.26732673267326734,0.0297029702970297,0.8333333333333334,0.8,8.134543074060636,0.09090909090909091,0.06060606060606061,0.0,11.897898531387657,0.06060606060606061
Mart Ristl,42,1,9,23,10,1,0,0,0,0,0,0,16,3,0,0,83.26330753844584,8,44.489458150540976,2,0,1,0,0,0,1,0,9,8,0,42,1,9,23,10,1,0,0,0,0,0,0,16,3,0,0,83.26330753844584,8,44.489458150540976,2,0,1,0,0,0,1,0,9,8,0,0.023809523809523808,0.21428571428571427,0.5476190476190477,0.23809523809523808,0.023809523809523808,0.8888888888888888,,5.203956721152865,0.1875,0.0,0.0,5.561182268817622,0.0625
Martin Harnik,407,12,57,167,183,55,23,12,11,2,2,0,124,5,5,3,945.0786960131809,63,611.197920156813,6,1,12,0,1,4,7,1,36,36,1,407,12,57,167,183,55,23,12,11,2,2,0,124,5,5,3,945.0786960131809,63,611.197920156813,6,1,12,0,1,4,7,1,36,36,1,0.029484029484029485,0.14004914004914004,0.4103194103194103,0.44963144963144963,0.13513513513513514,1.0,0.5217391304347826,7.621602387203072,0.04032258064516129,0.04032258064516129,0.024193548387096774,9.701554288203381,0.0967741935483871
Martin Hinteregger,217,28,96,96,25,9,3,1,2,1,0,0,52,1,0,0,514.0734483609158,38,465.8043978176484,2,0,5,0,0,4,1,0,10,10,0,217,28,96,96,25,9,3,1,2,1,0,0,52,1,0,0,514.0734483609158,38,465.8043978176484,2,0,5,0,0,4,1,0,10,10,0,0.12903225806451613,0.4423963133640553,0.4423963133640553,0.1152073732718894,0.041474654377880185,1.0,0.3333333333333333,9.886027853094534,0.019230769230769232,0.0,0.0,12.258010468885484,0.09615384615384616
Martin Stranzl,36,7,17,18,1,0,0,0,0,0,0,0,5,0,0,0,48.12846133676065,5,48.12846133676065,0,0,1,0,0,1,0,0,0,0,0,36,7,17,18,1,0,0,0,0,0,0,0,5,0,0,0,48.12846133676065,5,48.12846133676065,0,0,1,0,0,1,0,0,0,0,0,0.19444444444444445,0.4722222222222222,0.5,0.027777777777777776,0.0,,,9.62569226735213,0.0,0.0,0.0,9.62569226735213,0.2
Marvin Friedrich,3,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,3.1575306807693817,0,0.0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,3.1575306807693817,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,,,3.1575306807693817,0.0,0.0,0.0,,0.0
Marvin Matip,760,159,417,286,57,36,4,4,0,0,0,0,148,2,1,0,1385.8926246587198,82,907.7603368937746,1,0,4,0,1,2,1,0,18,17,0,760,159,417,286,57,36,4,4,0,0,0,0,148,2,1,0,1385.8926246587198,82,907.7603368937746,1,0,4,0,1,2,1,0,18,17,0,0.20921052631578949,0.5486842105263158,0.3763157894736842,0.075,0.04736842105263158,0.9444444444444444,1.0,9.36413935580216,0.013513513513513514,0.006756756756756757,0.0,11.07024801089969,0.02702702702702703
