ball_recovery_total,ball_recovery_successful,ball_recovery_offensive_total,ball_recovery_offensive_successful,ball_recovery_failed,pressure_on_opponent,pressure_on_opponent_defending_third,pressure_on_opponent_middle_third,pressure_on_opponent_attacking_third,counterpressing_total,counterpressing_opponent_defending_third,counterpressing_opponent_middle_third,counterpressing_attacking_third,block_total,block_offensive,block_ball_deflection,block_counterpress,block_during_counterpress,block_shot_on_target,clearance_total,clearance_with_head,interception,tackling,tackling_won,tackling_in_defending_third,tackling_in_middle_third,tackling_in_attacking_third,fouls_total,fouls_in_defending_third,fouls_in_middle_third,fouls_in_attacking_third,fouls_offensive,fouls_lead_to_penalty,fouls_wins_a_penalty,fouls_yellow_card,fouls_second_yellow_card,fouls_red_card,bad_behaviour_total,bad_behaviour_yellow_card,bad_behaviour_second_yellow_card,bad_behaviour_red_card,total_yellow,total_red,ball_recovery_successful_%,pressure_on_opponent_defending_third_%,pressure_on_opponent_middle_third_%,pressure_on_opponent_attacking_third_%,counterpressing_opponent_defending_third_%,counterpressing_opponent_middle_third_%,counterpressing_opponent_attacking_third_%,tackling_success_%,tackling_in_defending_third_%,tackling_in_middle_third_%,tackling_in_attacking_third_%,fouls_in_defending_third_%,fouls_in_middle_third_%,fouls_in_attacking_third_%
76,71,0,0,5,348,103,189,56,115,16,67,32,21,0,1,1,21,0,9,6,9,34,24,21,9,4,43,9,23,11,0,0,0,4,0,0,1,1,0,0,5,0,0.9342105263157895,0.2959770114942529,0.5431034482758621,0.16091954022988506,0.1391304347826087,0.5826086956521739,0.2782608695652174,0.7058823529411765,0.6176470588235294,0.2647058823529412,0.11764705882352941,0.20930232558139536,0.5348837209302325,0.2558139534883721
1,1,0,0,0,18,5,10,3,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,0.2777777777777778,0.5555555555555556,0.16666666666666666,0.0,0.75,0.25,,,,,1.0,0.0,0.0
20,19,0,0,1,97,40,35,22,31,2,16,13,9,0,0,0,9,0,8,3,4,10,4,7,2,1,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0.95,0.41237113402061853,0.36082474226804123,0.2268041237113402,0.06451612903225806,0.5161290322580645,0.41935483870967744,0.4,0.7,0.2,0.1,0.2,0.6,0.2
108,101,2,2,7,548,265,192,91,186,29,76,81,70,2,1,1,70,1,120,69,16,76,42,44,19,13,46,14,15,17,0,0,0,4,0,0,1,1,0,0,5,0,0.9351851851851852,0.4835766423357664,0.35036496350364965,0.16605839416058393,0.15591397849462366,0.40860215053763443,0.43548387096774194,0.5526315789473685,0.5789473684210527,0.25,0.17105263157894737,0.30434782608695654,0.32608695652173914,0.3695652173913043
112,103,1,1,9,324,80,173,71,178,32,87,59,28,0,0,0,28,0,13,12,11,54,40,17,29,8,40,5,23,12,1,0,1,2,0,0,0,0,0,0,2,0,0.9196428571428571,0.24691358024691357,0.5339506172839507,0.2191358024691358,0.1797752808988764,0.4887640449438202,0.33146067415730335,0.7407407407407407,0.3148148148148148,0.5370370370370371,0.14814814814814814,0.125,0.575,0.3
0,0,0,0,0,1,0,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,,,,,,,,,,,,
33,32,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9696969696969697,1.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,,,
80,71,0,0,9,330,26,150,154,117,3,51,63,37,1,0,0,37,0,16,8,7,23,12,4,14,5,29,2,14,13,0,0,1,3,0,0,1,1,0,0,4,0,0.8875,0.07878787878787878,0.45454545454545453,0.4666666666666667,0.02564102564102564,0.4358974358974359,0.5384615384615384,0.5217391304347826,0.17391304347826086,0.6086956521739131,0.21739130434782608,0.06896551724137931,0.4827586206896552,0.4482758620689655
77,69,0,0,8,490,106,239,145,183,17,93,73,35,2,0,0,35,0,9,4,8,40,19,18,16,6,50,8,29,13,0,1,0,4,0,0,0,0,0,0,4,0,0.8961038961038961,0.2163265306122449,0.48775510204081635,0.29591836734693877,0.09289617486338798,0.5081967213114754,0.3989071038251366,0.475,0.45,0.4,0.15,0.16,0.58,0.26
