index,UMAP 1,UMAP 2,new_position,role,position_level_1
9626.0,13.519204,4.9595833,Defender,Right Center Back,Regular Defender
4700.0,11.35877,2.6273708,Defender,Right Back,Offensive Defender
3244.0,13.076401,5.0523105,Defender,Right Center Back,Regular Defender
3442.0,0.83102936,2.248346,Forward,Left Center Forward,Striker
129558.0,4.3188744,-0.16856122,Defender,Right Back,Offensive Defender
3289.0,0.54660726,1.1346117,Forward,Right Center Forward,Striker
3278.0,1.6928376,1.3953396,Forward,Center Forward,Striker
9593.0,2.2067068,1.2952392,Forward,Center Attacking Midfield,Offensive Midfielder
22622.0,3.7427218,-0.3889187,Midfielder,Center Attacking Midfield,Offensive Midfielder
5458.0,0.02832543,1.712239,Forward,Left Midfield,Central Midfielder
3626.0,5.815035,4.3409414,Midfielder,Left Defensive Midfield,Defensive Midfielder
3488.0,5.287232,19.082159,Goalkeeper,Goalkeeper,Goalkeeper
3443.0,6.084579,-2.957254,Defender,Right Back,Offensive Defender
3507.0,3.4920416,-0.053728588,Forward,Left Center Forward,Striker
15892.0,2.8614364,2.6273806,Midfielder,Left Defensive Midfield,Defensive Midfielder
4884.0,0.435457,7.657775,Defender,Left Back,Offensive Defender
3454.0,0.60889965,2.3008618,Forward,Right Wing,Winger
3693.0,12.262853,1.8304563,Defender,Left Center Back,Regular Defender
26699.0,1.1256443,2.321361,Forward,Right Center Forward,Striker
5489.0,6.091543,3.786282,Midfielder,Right Back,Offensive Defender
3407.0,13.120656,5.0561914,Defender,Right Center Back,Regular Defender
20641.0,1.4244158,1.8120936,Forward,Center Attacking Midfield,Offensive Midfielder
3522.0,4.511982,18.31515,Goalkeeper,Goalkeeper,Goalkeeper
3277.0,5.9900737,3.1498992,Midfielder,Right Defensive Midfield,Defensive Midfielder
5540.0,4.6350894,4.5028257,Midfielder,Left Defensive Midfield,Defensive Midfielder
3991.0,6.0230675,-3.1851158,Defender,Right Back,Offensive Defender
3721.0,4.7076473,3.1501143,Midfielder,Right Center Midfield,Central Midfielder
3309.0,12.619127,5.426873,Defender,Right Center Back,Regular Defender
3306.0,0.9512145,7.8793283,Defender,Left Center Back,Regular Defender
3263.0,11.45076,3.54531,Defender,Right Center Back,Regular Defender
3326.0,2.886091,2.663317,Midfielder,Center Attacking Midfield,Offensive Midfielder
43081.0,3.19328,2.341646,Midfielder,Right Wing,Winger
23488.0,5.434641,3.947717,Forward,Right Attacking Midfield,Offensive Midfielder
9641.0,1.7270561,1.3353853,Forward,Right Center Midfield,Central Midfielder
3604.0,0.28952453,2.1172342,Forward,Left Defensive Midfield,Defensive Midfielder
3496.0,2.1292796,2.739297,Midfielder,Left Wing,Winger
3437.0,5.4878182,3.958897,Midfielder,Right Wing,Winger
3511.0,5.4879684,-3.581326,Defender,Right Back,Offensive Defender
11386.0,4.7964873,3.8121743,Midfielder,Left Defensive Midfield,Defensive Midfielder
3498.0,0.15690164,7.3412113,Defender,Left Back,Offensive Defender
6746.0,12.215051,4.813259,Defender,Center Forward,Striker
3394.0,11.7732935,1.1363014,Defender,Left Center Back,Regular Defender
3385.0,1.3251743,3.882422,Forward,Right Back,Offensive Defender
20951.0,4.820766,-1.4453739,Midfielder,Right Defensive Midfield,Defensive Midfielder
3388.0,1.8096286,0.5665024,Midfielder,Left Wing,Winger
3461.0,3.3762388,18.4584,Goalkeeper,Goalkeeper,Goalkeeper
75899.0,1.0470773,8.294841,Defender,Left Center Back,Regular Defender
27146.0,0.1502902,7.400391,Defender,Left Back,Offensive Defender
18672.0,4.870914,19.08751,Goalkeeper,Goalkeeper,Goalkeeper
42700.0,12.966988,4.987652,Defender,Right Center Back,Regular Defender
3568.0,5.7636156,2.223839,Midfielder,Left Defensive Midfield,Defensive Midfielder
9638.0,2.0313327,4.3785005,Midfielder,Left Center Back,Regular Defender
42703.0,6.1154933,4.158691,Midfielder,Right Back,Offensive Defender
5581.0,3.6385276,-0.46991587,Forward,Center Attacking Midfield,Offensive Midfielder
7780.0,6.786195,3.8351376,Midfielder,Right Defensive Midfield,Defensive Midfielder
18872.0,12.523663,5.4625854,Defender,Right Center Back,Regular Defender
10007.0,6.8178763,-3.6783178,Defender,Right Back,Offensive Defender
