player,player_id,country,team,position,match_played,minutes_played,subbed_in,subbed_out,unique_positions_played,positions_played,full_match_equivalents
Julien Féret,2959.0,France,Caen,Midfielder,42.0,3345.0,5.0,5.0,"['Center Forward', 'Center Attacking Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Midfield', 'Left Wing', 'Left Center Midfield', 'Right Center Midfield']","['Left Center Midfield', 'Left Wing', 'Left Center Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Center Forward', 'Left Defensive Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Right Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Right Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Center Midfield']",37.166666666666664
Yann Bodiger,2961.0,France,Toulouse,Midfielder,16.0,1093.0,4.0,4.0,"['Center Attacking Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Left Center Back', 'Right Wing', 'Right Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield']","['Right Wing', 'Right Center Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Left Center Back', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Right Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield']",12.144444444444444
Rémy Vercoutre,2963.0,France,Caen,Goalkeeper,38.0,3420.0,0.0,0.0,['Goalkeeper'],"['Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper']",38.0
Stéphane Sessègnon,2966.0,Benin,West Bromwich Albion,Midfielder,33.0,1939.0,12.0,12.0,"['Center Forward', 'Center Attacking Midfield', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Left Wing']","['Right Midfield', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Midfield', 'Right Midfield', 'Center Attacking Midfield', 'Right Midfield', 'Right Wing', 'Left Midfield', 'Right Midfield', 'Right Wing', 'Right Wing', 'Right Midfield', 'Center Forward', 'Right Midfield', 'Left Midfield', 'Right Midfield', 'Right Midfield', 'Right Midfield', 'Right Midfield', 'Center Attacking Midfield', 'Right Wing', 'Right Midfield', 'Right Midfield', 'Right Midfield', 'Left Midfield', 'Right Wing', 'Right Wing', 'Right Midfield', 'Right Midfield', 'Right Wing', 'Right Wing']",21.544444444444444
Mamadou Samassa,2967.0,Mali,Guingamp,Goalkeeper,1.0,90.0,0.0,0.0,['Goalkeeper'],['Goalkeeper'],1.0
Elias Kachunga,2968.0,"Congo, (Kinshasa)",Ingolstadt,Forward,6.0,279.0,3.0,3.0,"['Center Forward', 'Right Wing', 'Right Center Forward', 'Left Wing', 'Left Center Midfield']","['Center Forward', 'Right Wing', 'Center Forward', 'Center Forward', 'Left Center Midfield', 'Center Forward', 'Left Wing', 'Center Forward', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Center Forward', 'Right Wing']",3.1
Karim Azamoum,2969.0,France,Troyes,Midfielder,15.0,830.0,6.0,6.0,"['Center Forward', 'Right Defensive Midfield', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Left Wing', 'Right Center Midfield']","['Right Midfield', 'Right Wing', 'Left Wing', 'Center Forward', 'Left Midfield', 'Left Midfield', 'Right Center Midfield', 'Left Wing', 'Right Midfield', 'Right Defensive Midfield', 'Right Midfield', 'Right Defensive Midfield', 'Right Wing', 'Right Midfield', 'Right Center Midfield', 'Left Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Midfield']",9.222222222222221
Christian Kouakou Yao,2970.0,Côte d'Ivoire,Caen,Forward,0.0,0.0,0.0,0.0,"['Center Forward', 'Right Wing', 'Left Center Midfield', 'Left Wing', 'Left Defensive Midfield']","['Left Wing', 'Right Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Defensive Midfield', 'Center Forward', 'Right Wing', 'Left Center Midfield', 'Right Wing']",0.0
Romain Genevois,2971.0,Haiti,OGC Nice,Defender,11.0,902.0,1.0,1.0,"['Right Center Back', 'Left Center Back', 'Right Wing Back', 'Right Back', 'Right Center Forward']","['Right Center Back', 'Left Center Back', 'Right Center Back', 'Right Center Back', 'Right Back', 'Right Center Back', 'Left Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Forward', 'Right Back', 'Right Wing Back', 'Right Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back']",10.022222222222222
Mathieu Deplagne,2975.0,France,Montpellier,Defender,27.0,1914.0,6.0,6.0,"['Right Center Back', 'Right Back', 'Left Back', 'Right Wing']","['Right Back', 'Right Back', 'Left Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Left Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Wing', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Left Back', 'Right Back', 'Right Center Back', 'Right Center Back', 'Right Back']",21.266666666666666
Samuel Grandsir,2976.0,France,Troyes,Midfielder,0.0,0.0,0.0,0.0,"['Left Midfield', 'Center Defensive Midfield']","['Center Defensive Midfield', 'Left Midfield']",0.0
Jonathan Delaplace,2979.0,France,Caen,Midfielder,33.0,1922.0,12.0,12.0,"['Center Defensive Midfield', 'Right Defensive Midfield', 'Right Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield']","['Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Midfield', 'Right Center Midfield']",21.355555555555554
Kévin Bérigaud,2980.0,France,Montpellier,Forward,18.0,1014.0,7.0,7.0,"['Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Attacking Midfield', 'Left Defensive Midfield', 'Right Wing Back', 'Right Wing', 'Right Center Forward', 'Right Midfield', 'Left Midfield', 'Left Wing', 'Left Center Midfield', 'Left Center Forward']","['Left Wing', 'Right Midfield', 'Left Midfield', 'Left Center Midfield', 'Right Center Forward', 'Right Midfield', 'Right Wing', 'Left Wing', 'Left Wing', 'Right Wing', 'Right Wing', 'Left Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Midfield', 'Right Wing Back', 'Center Forward', 'Center Forward', 'Right Center Forward', 'Left Defensive Midfield', 'Center Forward', 'Right Center Forward', 'Center Attacking Midfield', 'Center Forward', 'Left Center Forward', 'Left Midfield', 'Right Wing', 'Center Forward', 'Center Forward', 'Left Midfield', 'Left Attacking Midfield', 'Center Forward', 'Center Attacking Midfield', 'Right Center Midfield', 'Center Attacking Midfield']",11.266666666666667
Alban Lafont,2981.0,France,Toulouse,Goalkeeper,25.0,2164.0,1.0,1.0,['Goalkeeper'],"['Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper']",24.044444444444444
Jérémy Morel,2983.0,Madagascar,Lyon,Defender,30.0,2443.0,3.0,3.0,"['Right Back', 'Left Back', 'Left Center Back']","['Left Back', 'Left Center Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Center Back', 'Left Back', 'Left Center Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Center Back', 'Left Center Back', 'Left Back', 'Left Back', 'Left Back', 'Left Center Back', 'Left Back', 'Left Back', 'Left Back', 'Left Center Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Right Back']",27.144444444444446
Ludovic Baal,2985.0,French Guiana,Rennes,Defender,25.0,1644.0,7.0,7.0,"['Left Center Back', 'Left Wing Back', 'Right Wing', 'Left Midfield', 'Left Wing', 'Left Back']","['Right Wing', 'Left Wing', 'Left Midfield', 'Left Back', 'Left Wing', 'Left Midfield', 'Left Wing Back', 'Left Back', 'Left Wing Back', 'Left Back', 'Left Back', 'Left Center Back', 'Left Back', 'Left Back', 'Left Wing', 'Left Midfield', 'Left Back', 'Left Wing Back', 'Left Back', 'Left Back', 'Left Midfield', 'Left Wing', 'Left Midfield', 'Left Wing', 'Left Wing Back', 'Left Back', 'Left Wing Back', 'Left Wing Back', 'Left Wing Back', 'Left Wing Back', 'Left Wing Back']",18.266666666666666
Memphis Depay,2988.0,Netherlands,Manchester United,Forward,22.0,1460.0,6.0,6.0,"['Center Forward', 'Center Attacking Midfield', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Left Wing', 'Left Defensive Midfield', 'Left Center Forward']","['Left Wing', 'Left Defensive Midfield', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Center Attacking Midfield', 'Left Center Forward', 'Left Wing', 'Left Wing', 'Left Center Forward', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Midfield', 'Left Midfield', 'Left Wing', 'Left Wing', 'Center Forward', 'Center Forward', 'Right Wing', 'Left Midfield', 'Left Wing', 'Left Midfield', 'Left Midfield', 'Right Wing', 'Center Forward', 'Left Midfield', 'Center Attacking Midfield', 'Left Wing']",16.22222222222222
Alexander Djiku,2989.0,Ghana,Bastia,Defender,22.0,1720.0,3.0,3.0,"['Center Attacking Midfield', 'Right Center Back', 'Left Center Back', 'Right Wing Back', 'Right Back', 'Left Center Forward']","['Right Back', 'Right Wing Back', 'Right Back', 'Right Back', 'Right Center Back', 'Left Center Back', 'Right Back', 'Right Back', 'Right Back', 'Right Wing Back', 'Right Wing Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Wing Back', 'Right Center Back', 'Right Back', 'Right Back', 'Right Center Back', 'Right Back', 'Center Attacking Midfield', 'Left Center Forward', 'Right Back', 'Right Back', 'Right Back']",19.11111111111111
Benjamin André,2990.0,France,Rennes,Midfielder,37.0,2730.0,7.0,7.0,"['Center Attacking Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Left Wing', 'Right Back', 'Right Wing', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield']","['Left Defensive Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Back', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Back', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Left Wing', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Wing', 'Center Attacking Midfield', 'Right Wing', 'Right Wing', 'Left Wing']",30.333333333333332
Hervé Bazile,2991.0,Haiti,Caen,Midfielder,19.0,1015.0,8.0,8.0,"['Center Defensive Midfield', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Left Center Midfield', 'Left Wing', 'Left Back', 'Right Center Midfield']","['Center Defensive Midfield', 'Left Wing', 'Left Wing', 'Left Midfield', 'Right Midfield', 'Left Wing', 'Left Midfield', 'Left Wing', 'Left Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Midfield', 'Right Midfield', 'Right Midfield', 'Left Midfield', 'Left Midfield', 'Right Midfield', 'Left Wing', 'Right Wing', 'Left Midfield', 'Left Wing', 'Left Back', 'Left Center Midfield', 'Left Midfield', 'Left Wing', 'Left Wing', 'Right Wing', 'Left Midfield', 'Right Wing', 'Left Midfield', 'Right Midfield', 'Left Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Left Midfield', 'Right Midfield', 'Left Midfield', 'Left Midfield', 'Right Midfield', 'Left Midfield', 'Right Midfield', 'Left Midfield']",11.277777777777779
Vincent Bessat,2992.0,France,Caen,Forward,46.0,2921.0,14.0,14.0,"['Center Defensive Midfield', 'Left Wing Back', 'Left Defensive Midfield', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Left Center Midfield', 'Left Wing', 'Left Back']","['Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Wing Back', 'Left Back', 'Left Wing Back', 'Left Wing Back', 'Left Back', 'Left Wing Back', 'Left Back', 'Left Back', 'Left Midfield', 'Left Wing', 'Center Defensive Midfield', 'Left Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Wing', 'Left Midfield', 'Left Center Midfield', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Back', 'Left Back', 'Left Midfield', 'Left Midfield', 'Left Wing', 'Left Wing', 'Left Midfield', 'Left Midfield', 'Left Wing', 'Left Midfield', 'Left Midfield', 'Right Midfield', 'Left Midfield', 'Right Midfield', 'Left Wing', 'Left Midfield', 'Left Midfield', 'Right Midfield', 'Left Center Midfield', 'Left Wing', 'Left Midfield', 'Left Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Midfield', 'Right Midfield']",32.455555555555556
Stéphane Darbion,2993.0,France,Troyes,Midfielder,25.0,1554.0,8.0,8.0,"['Center Forward', 'Center Attacking Midfield', 'Right Wing', 'Right Back', 'Right Midfield', 'Right Center Forward', 'Left Midfield', 'Left Wing', 'Left Center Midfield', 'Right Center Midfield']","['Right Midfield', 'Right Wing', 'Right Midfield', 'Right Center Midfield', 'Right Midfield', 'Center Forward', 'Right Midfield', 'Left Midfield', 'Right Midfield', 'Right Midfield', 'Right Wing', 'Center Attacking Midfield', 'Right Midfield', 'Right Wing', 'Right Midfield', 'Right Wing', 'Right Wing', 'Right Midfield', 'Center Attacking Midfield', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Right Midfield', 'Left Midfield', 'Right Midfield', 'Left Center Midfield', 'Right Back', 'Right Midfield', 'Right Wing', 'Right Midfield', 'Right Wing', 'Right Midfield', 'Right Midfield', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Right Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Midfield', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Center Forward']",17.266666666666666
Abdoulaye Diallo,2994.0,Senegal,Rennes,Goalkeeper,7.0,630.0,0.0,0.0,['Goalkeeper'],"['Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper']",7.0
