Model,Accuracy (mean),Accuracy (std),Precision_macro (mean),Precision_macro (std),Recall_macro (mean),Recall_macro (std),F1_macro (mean),F1_macro (std)
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.1, 'clf__max_depth': -1, 'clf__n_estimators': 500, 'clf__num_leaves': 31, 'clf__reg_alpha': 0.1}",0.9069656865511597,0.010758385597672358,0.9195224974418975,0.01110005356451829,0.9183484230306703,0.009598878711729441,0.9184548561507999,0.00981616899826813
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.1, 'clf__max_depth': -1, 'clf__n_estimators': 1000, 'clf__num_leaves': 63, 'clf__reg_alpha': 0.0}",0.9069656865511597,0.014164141233540683,0.9191713424276365,0.013737057226807228,0.9184597973889008,0.012642018196776095,0.9182289156358747,0.012953989162172056
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.1, 'clf__max_depth': -1, 'clf__n_estimators': 300, 'clf__num_leaves': 31, 'clf__reg_alpha': 0.1}",0.9069656865511597,0.010758385597672358,0.9195224974418975,0.01110005356451829,0.9183484230306703,0.009598878711729441,0.9184548561507999,0.00981616899826813
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.1, 'clf__max_depth': -1, 'clf__n_estimators': 500, 'clf__num_leaves': 31, 'clf__reg_alpha': 0.0}",0.9069642756363224,0.01707135647827895,0.9191794222490349,0.01699338893276801,0.9181559533038748,0.01506458983511761,0.9181693082193201,0.01577882335097751
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.1, 'clf__max_depth': 12, 'clf__n_estimators': 1000, 'clf__num_leaves': 31, 'clf__reg_alpha': 0.0}",0.9064380044020541,0.014664959905586819,0.9182839037426647,0.013777946842408679,0.9177469603571662,0.013131646878760672,0.9175505099340663,0.013181137859705728
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.1, 'clf__max_depth': 16, 'clf__n_estimators': 1000, 'clf__num_leaves': 31, 'clf__reg_alpha': 0.1}",0.9064365934872172,0.010385539310430479,0.9189257437455745,0.010805723980219749,0.9177587974783783,0.009494992548033956,0.9178313267326612,0.009595057333455826
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.1, 'clf__max_depth': 8, 'clf__n_estimators': 500, 'clf__num_leaves': 63, 'clf__reg_alpha': 0.0}",0.9064365934872172,0.012933501154727394,0.9186626112394052,0.01245498520262675,0.9173765545614957,0.010838084684043882,0.9176457216744328,0.011303101803667828
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.1, 'clf__max_depth': 16, 'clf__n_estimators': 500, 'clf__num_leaves': 31, 'clf__reg_alpha': 0.1}",0.9064365934872172,0.010385539310430479,0.9189257437455745,0.010805723980219749,0.9177587974783783,0.009494992548033956,0.9178313267326612,0.009595057333455826
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.1, 'clf__max_depth': 16, 'clf__n_estimators': 300, 'clf__num_leaves': 31, 'clf__reg_alpha': 0.1}",0.9064365934872172,0.010385539310430479,0.9189257437455745,0.010805723980219749,0.9177587974783783,0.009494992548033956,0.9178313267326612,0.009595057333455826
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': 'balanced', 'clf__learning_rate': 0.05, 'clf__max_depth': 8, 'clf__n_estimators': 500, 'clf__num_leaves': 127, 'clf__reg_alpha': 0.0}",0.9064365934872172,0.01757106084290698,0.917848383070923,0.01591577931212397,0.9188540959782425,0.015992490206945962,0.9179445171485445,0.015874917029459396
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.1, 'clf__max_depth': 8, 'clf__n_estimators': 500, 'clf__num_leaves': 127, 'clf__reg_alpha': 0.0}",0.9064365934872172,0.012933501154727394,0.9186626112394052,0.01245498520262675,0.9173765545614957,0.010838084684043882,0.9176457216744328,0.011303101803667828
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': 'balanced', 'clf__learning_rate': 0.05, 'clf__max_depth': 8, 'clf__n_estimators': 500, 'clf__num_leaves': 63, 'clf__reg_alpha': 0.0}",0.9064365934872172,0.01757106084290698,0.917848383070923,0.01591577931212397,0.9188540959782425,0.015992490206945962,0.9179445171485445,0.015874917029459396
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.1, 'clf__max_depth': 12, 'clf__n_estimators': 500, 'clf__num_leaves': 31, 'clf__reg_alpha': 0.0}",0.906436593487217,0.015335562627165674,0.9182741254177597,0.014285606815880215,0.9177534911826625,0.013617107004971958,0.9176142604073283,0.013779053852000948
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.1, 'clf__max_depth': 16, 'clf__n_estimators': 1000, 'clf__num_leaves': 63, 'clf__reg_alpha': 0.0}",0.9064351825723799,0.01429527535988091,0.9181739335529822,0.014136896524019307,0.9184763140779884,0.012731067444668882,0.9177761435537619,0.013079549006683623
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.1, 'clf__max_depth': -1, 'clf__n_estimators': 300, 'clf__num_leaves': 63, 'clf__reg_alpha': 0.0}",0.9064351825723799,0.016500270500425226,0.9184272391957711,0.01510038980422512,0.9182632458961703,0.014783963223299532,0.9178324331043864,0.015004023324249409
"{'clf': LGBMClassifier(class_weight='balanced', max_depth=16, n_estimators=1000,
               n_jobs=-1, num_class=4, num_leaves=127, objective='multiclass',
               random_state=42, reg_alpha=1.0), 'clf__class_weight': None, 'clf__learning_rate': 0.05, 'clf__max_depth': 8, 'clf__n_estimators': 500, 'clf__num_leaves': 63, 'clf__reg_alpha': 0.0}",0.9064351825723799,0.013791599795246268,0.918391220734945,0.013360262096744197,0.9179195901303256,0.011348920920759283,0.9178066880271991,0.012188761662444564
